strategy,side,entry_time,entry_px,sl,tp,exit_time,exit_px,outcome,pts,risk,r,hour,reason
s94_sweep_reversal,BUY,2025-12-01 14:21:00+00:00,4244.225,4238.19,4260.19,2025-12-01 14:35:00+00:00,4238.19,SL,-6.485,6.035,-1.0746,14,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-01 18:50:00+00:00,4242.66,4244.92,4232.04,2025-12-01 19:51:00+00:00,4232.04,TP,10.17,2.26,4.5,18,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-01 23:56:00+00:00,4229.315,4224.14,4240.92,2025-12-02 00:08:00+00:00,4224.14,SL,-5.625,5.175,-1.087,23,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-02 09:16:00+00:00,4207.24,4204.82,4218.79,2025-12-02 09:17:00+00:00,4204.82,SL,-2.87,2.42,-1.186,9,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-03 09:07:00+00:00,4202.38,4200.29,4210.87,2025-12-03 09:08:00+00:00,4200.29,SL,-2.54,2.09,-1.2153,9,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 02:21:00+00:00,4202.9,4198.82,4219.61,2025-12-04 03:02:00+00:00,4198.82,SL,-4.53,4.08,-1.1103,2,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 03:10:00+00:00,4195.195,4187.04,4215.73,2025-12-04 05:38:00+00:00,4187.04,SL,-8.605,8.155,-1.0552,3,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,BUY,2025-12-04 12:21:00+00:00,4196.645,4193.27,4204.79,2025-12-04 12:29:00+00:00,4193.27,SL,-3.825,3.375,-1.1333,12,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-04 11:15:00+00:00,4202.83,4206.82,4190.54,2025-12-04 12:34:00+00:00,4190.54,TP,11.84,3.99,2.9674,11,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-04 16:16:00+00:00,4213.61,4215.52,4197.83,2025-12-04 16:17:00+00:00,4215.52,SL,-2.36,1.91,-1.2356,16,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,SELL,2025-12-04 17:50:00+00:00,4217.08,4219.75,4200.28,2025-12-04 19:12:00+00:00,4200.28,TP,16.35,2.67,6.1236,17,S94_SWEEP_REVERSAL_SHORT
s94_sweep_reversal,BUY,2025-12-04 23:45:00+00:00,4205.485,4203.93,4213.14,2025-12-05 00:30:00+00:00,4203.93,SL,-2.005,1.555,-1.2894,23,S94_SWEEP_REVERSAL_LONG
s94_sweep_reversal,SELL,2025-12-05 12:16:00+00:00,4227.545,4229.8,4222.19,2025-12-05 13:00:00+00:00,4229.8,SL,-2.705,2.255,-1.1996,12,S94_SWEEP_REVERSAL_SHORT
