strategy,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_pts,reason
ORB_NY,2024-12-31 13:15:00,BUY,94931.0,94059.4,96359.9,94059.4,2024-12-31 17:30:00,SL,-901.6,ORB_NY_UP
ORB_NY,2025-01-02 14:00:00,SELL,96351.8,96809.6,95729.0,96809.6,2025-01-02 14:30:00,SL,-487.8,ORB_NY_DN
ORB_NY,2025-01-02 15:00:00,BUY,97182.2,96499.7,97815.4,96499.7,2025-01-02 15:15:00,SL,-712.5,ORB_NY_UP
ORB_NY,2025-01-02 15:45:00,SELL,96237.6,96809.6,95618.2,96809.6,2025-01-02 16:15:00,SL,-602.0,ORB_NY_DN
ORB_NY,2025-01-02 18:30:00,BUY,96794.2,96499.7,97460.2,97460.2,2025-01-02 19:00:00,TP,636.0,ORB_NY_UP
ORB_NY,2025-01-03 13:30:00,SELL,96489.1,96838.8,95946.4,96838.8,2025-01-03 14:00:00,SL,-379.7,ORB_NY_DN
ORB_NY,2025-01-03 14:30:00,BUY,97034.9,96563.2,97586.1,97586.1,2025-01-03 15:45:00,TP,521.2,ORB_NY_UP
ORB_NY,2025-01-06 13:15:00,SELL,99021.0,99727.2,97772.6,99727.2,2025-01-06 14:45:00,SL,-736.2,ORB_NY_DN
ORB_NY,2025-01-07 13:30:00,BUY,100975.7,100618.8,101681.8,100618.8,2025-01-07 14:00:00,SL,-386.9,ORB_NY_UP
ORB_NY,2025-01-07 15:00:00,SELL,100044.9,100973.1,99331.2,99331.2,2025-01-07 15:00:00,TP,683.7,ORB_NY_DN
ORB_NY,2025-01-08 13:30:00,BUY,95513.5,94788.7,96552.0,94788.7,2025-01-08 15:15:00,SL,-754.8,ORB_NY_UP
ORB_NY,2025-01-08 16:00:00,BUY,95459.8,94788.7,96506.4,94788.7,2025-01-08 16:30:00,SL,-701.1,ORB_NY_UP
ORB_NY,2025-01-08 18:45:00,SELL,94351.4,95310.4,93313.4,95310.4,2025-01-09 01:15:00,SL,-989.0,ORB_NY_DN
ORB_NY,2025-01-09 13:15:00,SELL,93024.2,93646.9,91927.3,91927.3,2025-01-09 13:45:00,TP,1066.9,ORB_NY_DN
ORB_NY,2025-01-09 15:45:00,BUY,93896.5,93098.1,94995.8,93098.1,2025-01-09 17:45:00,SL,-828.4,ORB_NY_UP
ORB_NY,2025-01-09 19:30:00,SELL,92843.4,93646.9,91737.0,91737.0,2025-01-09 20:00:00,TP,1076.4,ORB_NY_DN
ORB_NY,2025-01-10 13:45:00,SELL,93534.7,95158.2,92598.8,92598.8,2025-01-10 15:00:00,TP,905.9,ORB_NY_DN
ORB_NY,2025-01-10 18:00:00,BUY,95807.7,94696.6,96738.6,94696.6,2025-01-10 18:30:00,SL,-1141.1,ORB_NY_UP
ORB_NY,2025-01-10 20:00:00,BUY,95334.2,94696.6,96260.6,94696.6,2025-01-10 20:30:00,SL,-667.6,ORB_NY_UP
ORB_NY,2025-01-13 13:15:00,BUY,91316.5,90157.0,93509.2,90157.0,2025-01-13 14:30:00,SL,-1189.5,ORB_NY_UP
ORB_NY,2025-01-13 15:00:00,BUY,91798.8,90157.0,93977.0,93977.0,2025-01-13 21:30:00,TP,2148.2,ORB_NY_UP
ORB_NY,2025-01-14 13:30:00,SELL,95875.7,96675.4,94357.4,96675.4,2025-01-14 13:30:00,SL,-829.7,ORB_NY_DN
ORB_NY,2025-01-14 14:30:00,BUY,96752.4,95918.5,98274.7,95918.5,2025-01-14 16:00:00,SL,-863.9,ORB_NY_UP
ORB_NY,2025-01-14 16:30:00,SELL,95814.1,96675.4,94300.6,96675.4,2025-01-14 18:30:00,SL,-891.3,ORB_NY_DN
ORB_NY,2025-01-15 13:30:00,BUY,97275.6,96522.9,98562.3,98562.3,2025-01-15 13:30:00,TP,1256.7,ORB_NY_UP
ORB_NY,2025-01-16 13:30:00,SELL,98835.2,99525.6,97530.8,97530.8,2025-01-16 14:45:00,TP,1274.4,ORB_NY_DN
ORB_NY,2025-01-16 16:30:00,BUY,99740.4,98873.5,101045.2,100136.8,2025-01-16 23:30:00,TIME,366.4,ORB_NY_UP
ORB_NY,2025-01-17 15:00:00,BUY,103413.3,102172.1,105053.1,105053.1,2025-01-17 16:30:00,TP,1609.8,ORB_NY_UP
ORB_NY,2025-01-20 16:00:00,SELL,104747.0,108610.4,98210.4,102596.9,2025-01-20 23:00:00,TIME,2120.1,ORB_NY_DN
ORB_NY,2025-01-21 14:30:00,BUY,105149.2,103524.1,107393.8,103524.1,2025-01-21 14:30:00,SL,-1655.1,ORB_NY_UP
ORB_NY,2025-01-21 15:00:00,SELL,103180.4,104646.6,100945.6,104646.6,2025-01-21 16:00:00,SL,-1496.2,ORB_NY_DN
ORB_NY,2025-01-22 13:15:00,SELL,104943.9,105609.0,103803.0,103803.0,2025-01-22 14:00:00,TP,1110.9,ORB_NY_DN
ORB_NY,2025-01-23 13:45:00,BUY,102160.8,101395.1,103692.4,103692.4,2025-01-23 14:30:00,TP,1501.6,ORB_NY_UP
ORB_NY,2025-01-24 13:45:00,SELL,105064.6,105633.6,104154.8,105633.6,2025-01-24 14:30:00,SL,-599.0,ORB_NY_DN
ORB_NY,2025-01-24 15:30:00,BUY,105689.2,105175.6,106614.0,106614.0,2025-01-24 17:45:00,TP,894.8,ORB_NY_UP
ORB_NY,2025-01-27 13:15:00,BUY,101667.8,98696.4,106095.6,100271.5,2025-01-27 20:15:00,TIME,-1426.3,ORB_NY_UP
ORB_NY,2025-01-28 14:15:00,SELL,101937.8,103004.2,100844.8,103004.2,2025-01-28 15:00:00,SL,-1096.4,ORB_NY_DN
ORB_NY,2025-01-28 15:30:00,BUY,103218.5,102461.2,104304.4,102461.2,2025-01-28 16:00:00,SL,-787.3,ORB_NY_UP
