label,n,train_n,test_n,median_risk,trades_per_day,m0.75_all_pf,m0.75_all_pts,m0.75_train_pf,m0.75_train_pts,m0.75_test_pf,m0.75_test_pts,m1.00_all_pf,m1.00_all_pts,m1.00_train_pf,m1.00_train_pts,m1.00_test_pf,m1.00_test_pts,q_n,q0.45_all_pf,q0.45_all_pts,q0.45_train_pf,q0.45_train_pts,q0.45_test_pf,q0.45_test_pts,q0.70_all_pf,q0.70_all_pts,q0.70_train_pf,q0.70_train_pts,q0.70_test_pf,q0.70_test_pts,q0.70_wr,test_pos_month_share,test_max_month_share,gold_corr,up_months_pts,dn_months_pts,bar1_n,bar2_base,bar2_stress,bar3_train,bar4_monthly,bar5_regime,bars15,q_bar2_test_both
s14_f1.5_c0.80_closed,3644,2306,1338,2.36,6.86,0.667,-2701.1,0.647,-1761.5,0.7,-939.7,0.586,-3612.2,0.565,-2338.0,0.62,-1274.2,3644,0.676,-2512.0,0.649,-1666.4,0.717,-845.6,0.591,-3423.0,0.565,-2242.9,0.633,-1180.1,30.2,0.0,,0.32,-1835.2,-865.9,True,False,False,False,False,True,2,False
s14_f3.0_c0.80_closed,1499,797,702,3.52,2.82,0.754,-1078.9,0.749,-584.0,0.76,-494.9,0.687,-1453.7,0.681,-783.2,0.693,-670.4,1499,0.749,-1069.6,0.744,-577.1,0.754,-492.5,0.68,-1444.3,0.675,-776.4,0.686,-668.0,31.3,0.0,,0.27,-743.9,-335.0,True,False,False,False,False,True,2,False
s14_f3.0_c0.80_open,1624,871,753,3.47,3.06,1.435,1564.5,1.343,673.5,1.547,890.9,1.305,1158.5,1.219,455.8,1.408,702.7,1624,1.405,1447.8,1.3,587.4,1.533,860.4,1.275,1041.8,1.178,369.7,1.392,672.2,45.9,1.0,0.15,0.26,1116.0,448.4,True,True,True,True,True,True,6,True
s14_f3.0_c1.00_closed,1499,797,702,3.52,2.82,0.754,-1078.9,0.749,-584.0,0.76,-494.9,0.687,-1453.7,0.681,-783.2,0.693,-670.4,1499,0.749,-1069.6,0.744,-577.1,0.754,-492.5,0.68,-1444.3,0.675,-776.4,0.686,-668.0,31.3,0.0,,0.27,-743.9,-335.0,True,False,False,False,False,True,2,False
