entry_time,strategy,side,outcome_1m,outcome_5s,usd_1m,usd_5s,exit_1m,exit_5s,flipped
2026-03-02 01:20:00+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,SL,SL,-137.99999999999272,-137.99999999999272,5313.1,5313.1,False
2026-03-02 01:58:00+00:00,KRONOS_S100_M3_COMBO,BUY,TIME,TIME,246.05000000000476,238.1500000000051,5352.47,5351.68,False
2026-03-02 03:23:00+00:00,KRONOS_S100_M3_COMBO,BUY,TIME,TIME,-0.2999999999974534,29.799999999995634,5357.68,5360.69,False
2026-03-02 04:58:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-35.69999999999709,-35.69999999999709,5353.72,5353.72,False
2026-03-02 06:56:00+00:00,KRONOS_S100_M3_COMBO,BUY,TP,TP,119.49999999999818,119.49999999999818,5399.25,5399.25,False
2026-03-02 07:27:00+00:00,KRONOS_S93_FVG_SCALP,BUY,SL,SL,-87.20000000000255,-87.20000000000255,5405.19,5405.19,False
2026-03-02 07:27:00+00:00,KRONOS_S99_MSS_FVG,BUY,SL,SL,-87.20000000000255,-87.20000000000255,5405.19,5405.19,False
2026-03-02 07:21:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-108.90000000000329,-108.90000000000329,5405.36,5405.36,False
2026-03-02 07:51:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-36.200000000008004,-36.200000000008004,5403.4,5403.4,False
2026-03-02 08:37:00+00:00,KRONOS_S99_MSS_FVG,BUY,SL,SL,-62.74999999999636,-62.74999999999636,5406.0,5406.0,False
2026-03-02 08:31:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-88.75,-88.75,5401.8,5401.8,False
2026-03-03 01:37:00+00:00,KRONOS_S100_M3_COMBO,BUY,TP,TP,39.30000000000291,39.30000000000291,5372.77,5372.77,False
2026-03-03 02:10:00+00:00,KRONOS_S100_M3_COMBO,BUY,TP,TP,25.100000000002183,25.100000000002183,5350.34,5350.34,False
2026-03-03 02:32:00+00:00,KRONOS_S100_M3_COMBO,BUY,TIME,TIME,83.29999999999927,59.4499999999971,5368.845,5366.46,False
2026-03-03 04:24:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-56.09999999999673,-56.09999999999673,5364.58,5364.58,False
2026-03-03 05:15:00+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,SL,SL,-14.149999999999638,-14.149999999999638,5353.53,5353.53,False
2026-03-03 06:00:00+00:00,KRONOS_S99_MSS_FVG,SELL,TP,TP,57.55000000000109,57.55000000000109,5315.86,5315.86,False
2026-03-03 06:18:00+00:00,KRONOS_S100_M3_COMBO,SELL,SL,SL,-36.49999999999636,-36.49999999999636,5307.29,5307.29,False
2026-03-03 06:40:00+00:00,KRONOS_S100_M3_COMBO,SELL,TP,TP,149.89999999999785,149.89999999999785,5296.37,5296.37,False
2026-03-03 08:14:00+00:00,KRONOS_S99_MSS_FVG,BUY,SL,SL,-16.30000000000109,-16.30000000000109,5318.57,5318.57,False
2026-03-03 08:17:00+00:00,KRONOS_S100_M3_COMBO,SELL,SL,SL,-30.550000000002914,-30.550000000002914,5328.13,5328.13,False
2026-03-03 08:27:00+00:00,KRONOS_S100_M3_COMBO,SELL,TP,TP,194.4000000000051,194.4000000000051,5297.65,5297.65,False
2026-03-03 09:01:00+00:00,KRONOS_S99_MSS_FVG,SELL,TP,TP,58.69999999999891,58.69999999999891,5295.93,5295.93,False
2026-03-03 09:37:00+00:00,KRONOS_S93_FVG_SCALP,SELL,SL,SL,-208.1999999999971,-208.1999999999971,5284.58,5284.58,False
2026-03-03 09:37:00+00:00,KRONOS_S99_MSS_FVG,SELL,SL,SL,-208.1999999999971,-208.1999999999971,5284.58,5284.58,False
2026-03-03 11:39:00+00:00,KRONOS_S99_MSS_FVG,SELL,SL,SL,-587.6500000000033,-587.6500000000033,5192.12,5192.12,False
2026-03-04 01:11:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-89.70000000000256,-89.70000000000256,5148.53,5148.53,False
2026-03-04 01:30:00+00:00,KRONOS_S100_M3_COMBO,BUY,TP,TP,145.5999999999949,145.5999999999949,5165.41,5165.41,False
2026-03-04 01:54:00+00:00,KRONOS_S100_M3_COMBO,BUY,TP,TP,110.54999999999382,110.54999999999382,5183.19,5183.19,False
2026-03-04 02:16:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-50.24999999999636,-50.24999999999636,5175.97,5175.97,False
2026-03-04 02:48:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-16.09999999999673,-16.09999999999673,5166.25,5166.25,False
2026-03-04 03:35:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,SL,-25.150000000003274,-25.150000000003274,5154.25,5154.25,False
