entry_time,exit_time,strategy,side,outcome,entry_px,exit_px,pnl_pts,pnl_usd
2026-03-02 01:20:00+00:00,2026-03-02 01:29:35+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,SL,5327.129999999999,5312.870000000001,-14.2599999999984,-142.599999999984
2026-03-02 01:58:00+00:00,2026-03-02 03:10:00+00:00,KRONOS_S100_M3_COMBO,BUY,TIME,5328.094999999999,5351.450000000001,23.355000000001382,233.55000000001382
2026-03-02 03:23:00+00:00,2026-03-02 04:35:00+00:00,KRONOS_S100_M3_COMBO,BUY,TIME,5357.94,5360.46,2.5200000000004366,25.20000000000437
2026-03-02 04:58:00+00:00,2026-03-02 05:00:00+00:00,KRONOS_S100_M3_COMBO,BUY,SL,5357.5199999999995,5353.490000000001,-4.029999999998836,-40.29999999998836
2026-03-02 06:56:00+00:00,2026-03-02 07:07:50+00:00,KRONOS_S100_M3_COMBO,BUY,TP,5387.53,5399.02,11.490000000000691,114.90000000000691
2026-03-02 07:27:00+00:00,2026-03-02 07:37:15+00:00,KRONOS_S93_FVG_SCALP,BUY,SL,5414.139999999999,5404.96,-9.179999999999382,-91.79999999999382
2026-03-02 07:27:00+00:00,2026-03-02 07:37:15+00:00,KRONOS_S99_MSS_FVG,BUY,SL,5414.139999999999,5404.96,-9.179999999999382,-91.79999999999382
2026-03-02 07:21:00+00:00,2026-03-02 07:37:15+00:00,KRONOS_S100_M3_COMBO,BUY,SL,5416.48,5405.13,-11.349999999999454,-113.49999999999454
2026-03-02 07:51:00+00:00,2026-03-02 07:55:15+00:00,KRONOS_S100_M3_COMBO,BUY,SL,5407.25,5403.17,-4.079999999999927,-40.79999999999927
2026-03-02 08:37:00+00:00,2026-03-02 08:41:45+00:00,KRONOS_S99_MSS_FVG,BUY,SL,5412.504999999999,5405.77,-6.734999999998763,-67.34999999998763
2026-03-02 08:31:00+00:00,2026-03-02 08:43:30+00:00,KRONOS_S100_M3_COMBO,BUY,SL,5410.905,5401.570000000001,-9.334999999999127,-93.34999999999127
2026-03-03 01:37:00+00:00,2026-03-03 01:38:40+00:00,KRONOS_S100_M3_COMBO,BUY,TP,5369.07,5372.540000000001,3.470000000001164,34.70000000001164
2026-03-03 02:10:00+00:00,2026-03-03 02:11:05+00:00,KRONOS_S100_M3_COMBO,BUY,TP,5348.0599999999995,5350.110000000001,2.0500000000010914,20.500000000010914
2026-03-03 02:32:00+00:00,2026-03-03 03:44:00+00:00,KRONOS_S100_M3_COMBO,BUY,TIME,5360.745,5366.2300000000005,5.485000000000582,54.85000000000583
2026-03-03 04:24:00+00:00,2026-03-03 04:49:20+00:00,KRONOS_S100_M3_COMBO,BUY,SL,5370.419999999999,5364.35,-6.0699999999987995,-60.699999999987995
2026-03-03 05:15:00+00:00,2026-03-03 05:17:00+00:00,KRONOS_S94_SWEEP_REVERSAL,BUY,SL,5355.174999999999,5353.3,-1.8749999999990905,-18.74999999999091
2026-03-03 06:00:00+00:00,2026-03-03 06:04:00+00:00,KRONOS_S99_MSS_FVG,SELL,TP,5321.385,5316.089999999999,5.295000000000982,52.95000000000982
2026-03-03 06:18:00+00:00,2026-03-03 06:20:10+00:00,KRONOS_S100_M3_COMBO,SELL,SL,5303.410000000001,5307.5199999999995,-4.109999999998763,-41.09999999998764
2026-03-03 06:40:00+00:00,2026-03-03 06:52:10+00:00,KRONOS_S100_M3_COMBO,SELL,TP,5311.13,5296.599999999999,14.530000000000655,145.30000000000655
2026-03-03 08:14:00+00:00,2026-03-03 08:15:30+00:00,KRONOS_S99_MSS_FVG,BUY,SL,5320.429999999999,5318.34,-2.089999999999236,-20.89999999999236
2026-03-03 08:17:00+00:00,2026-03-03 08:19:55+00:00,KRONOS_S100_M3_COMBO,SELL,SL,5324.845,5328.36,-3.514999999999418,-35.14999999999418
