variation,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_points,tp_mode,pool_type,is_equal_pool
VAR1-EQ,2026-04-14 22:30:00+00:00,SELL,4838.94,4844.3,4834.94,4834.94,2026-04-14 22:50:00,TP,4.0,FIXED,BSL,True
VAR1-EQ,2026-04-14 23:05:00+00:00,SELL,4839.55,4845.31,4835.55,4835.55,2026-04-14 23:15:00,TP,4.0,FIXED,BSL,True
VAR1-EQ,2026-04-15 19:50:00+00:00,BUY,4799.0,4796.95,4803.34,4796.95,2026-04-15 19:55:00,SL,-2.05,DYNAMIC_POOL,SSL,True
VAR1-EQ,2026-04-16 13:35:00+00:00,SELL,4821.56,4825.04,4811.86,4811.86,2026-04-16 13:45:00,TP,9.7,DYNAMIC_POOL,BSL,True
VAR1-EQ,2026-04-17 00:35:00+00:00,SELL,4796.4,4798.43,4792.49,4798.43,2026-04-17 00:40:00,SL,-2.03,DYNAMIC_POOL,BSL,True
VAR1-EQ,2026-04-17 03:30:00+00:00,SELL,4794.27,4796.19,4790.27,4796.19,2026-04-17 03:45:00,SL,-1.92,FIXED,BSL,True
VAR1-EQ,2026-04-17 06:00:00+00:00,BUY,4793.61,4789.1,4797.61,4789.1,2026-04-17 06:10:00,SL,-4.51,FIXED,SSL,True
VAR1-EQ,2026-04-17 19:55:00+00:00,BUY,4854.69,4851.96,4858.69,4851.96,2026-04-17 20:00:00,SL,-2.73,FIXED,SSL,True
VAR1-EQ,2026-04-20 04:55:00+00:00,BUY,4789.03,4786.6,4795.85,4786.6,2026-04-20 05:05:00,SL,-2.43,DYNAMIC_POOL,SSL,True
VAR1-EQ,2026-04-20 05:00:00+00:00,BUY,4790.3,4786.53,4795.85,4786.53,2026-04-20 05:10:00,SL,-3.77,DYNAMIC_POOL,SSL,True
VAR1-EQ,2026-04-21 10:15:00+00:00,BUY,4783.12,4779.97,4787.12,4787.12,2026-04-21 10:35:00,TP,3.99,FIXED,SSL,True
VAR1-EQ,2026-04-21 11:15:00+00:00,BUY,4781.94,4780.03,4785.94,4780.03,2026-04-21 11:25:00,SL,-1.91,FIXED,SSL,True
