strategy,entry_time,side,entry_px,sl,tp,exit_px,exit_time,outcome,pnl_pts,reason
ICT_S2_FVG,2025-01-08 11:15:00+00:00,BUY,2649.2,2648.27,2650.46,2647.97,2025-01-08 11:30:00+00:00,SL,-1.23,ICT_S2_FVG
ICT_S2_FVG,2025-01-08 17:30:00+00:00,BUY,2656.57,2651.42,2666.29,2651.12,2025-01-08 17:45:00+00:00,SL,-5.46,ICT_S2_FVG
ICT_S2_FVG,2025-01-09 08:00:00+00:00,BUY,2661.98,2660.4,2664.52,2664.22,2025-01-09 08:15:00+00:00,TP,2.25,ICT_S2_FVG
ICT_S2_FVG,2025-01-09 14:15:00+00:00,BUY,2669.45,2667.76,2672.24,2671.94,2025-01-09 14:30:00+00:00,TP,2.48,ICT_S2_FVG
ICT_S2_FVG,2025-01-10 04:30:00+00:00,BUY,2672.63,2671.53,2674.25,2673.95,2025-01-10 05:15:00+00:00,TP,1.32,ICT_S2_FVG
ICT_S2_FVG,2025-01-10 07:45:00+00:00,BUY,2674.51,2673.64,2675.67,2675.37,2025-01-10 08:00:00+00:00,TP,0.86,ICT_S2_FVG
ICT_S2_FVG,2025-01-12 23:15:00+00:00,BUY,2688.75,2687.05,2691.56,2691.26,2025-01-13 00:00:00+00:00,TP,2.5,ICT_S2_FVG
ICT_S2_FVG,2025-01-14 13:30:00+00:00,BUY,2661.11,2660.03,2662.66,2662.36,2025-01-14 13:45:00+00:00,TP,1.25,ICT_S2_FVG
ICT_S2_FVG,2025-01-14 18:00:00+00:00,BUY,2668.24,2664.64,2674.85,2674.55,2025-01-14 19:30:00+00:00,TP,6.31,ICT_S2_FVG
ICT_S2_FVG,2025-01-15 14:30:00+00:00,BUY,2678.3,2676.26,2681.79,2681.49,2025-01-15 14:45:00+00:00,TP,3.19,ICT_S2_FVG
ICT_S2_FVG,2025-01-17 13:15:00+00:00,BUY,2706.96,2705.42,2709.43,2705.12,2025-01-17 13:30:00+00:00,SL,-1.84,ICT_S2_FVG
ICT_S2_FVG,2025-01-28 03:45:00+00:00,BUY,2738.38,2737.06,2740.43,2740.13,2025-01-28 04:00:00+00:00,TP,1.74,ICT_S2_FVG
ICT_S2_FVG,2025-01-31 18:30:00+00:00,BUY,2797.95,2794.36,2804.52,2804.22,2025-02-02 23:00:00+00:00,TP,6.27,ICT_S2_FVG
ICT_S2_FVG,2025-02-07 13:30:00+00:00,BUY,2854.09,2852.98,2855.72,2855.42,2025-02-07 13:45:00+00:00,TP,1.33,ICT_S2_FVG
ICT_S2_FVG,2025-02-07 16:00:00+00:00,BUY,2872.58,2869.09,2878.96,2868.79,2025-02-07 16:15:00+00:00,SL,-3.79,ICT_S2_FVG
ICT_S2_FVG,2025-02-12 08:00:00+00:00,BUY,2889.84,2887.02,2894.88,2886.72,2025-02-12 09:45:00+00:00,SL,-3.12,ICT_S2_FVG
ICT_S2_FVG,2025-02-24 06:00:00+00:00,BUY,2935.9,2929.96,2947.17,2946.87,2025-02-24 08:45:00+00:00,TP,10.97,ICT_S2_FVG
ICT_S2_FVG,2025-02-26 00:00:00+00:00,SELL,2919.15,2934.38,2889.29,2889.59,2025-02-27 05:30:00+00:00,TP,29.56,ICT_S2_FVG
