variation,entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_points,tp_mode,pool_type,is_equal_pool
VAR2,2026-04-13 04:06:00+00:00,BUY,4714.6,4707.64,4728.23,4728.23,2026-04-13 05:57:00,TP,13.63,DYNAMIC_POOL,SSL,False
VAR2,2026-04-13 04:11:00+00:00,BUY,4713.15,4710.1,4718.15,4710.1,2026-04-13 04:21:00,SL,-3.05,FIXED,SSL,False
VAR2,2026-04-13 04:19:00+00:00,BUY,4712.35,4709.89,4716.67,4709.89,2026-04-13 04:21:00,SL,-2.46,DYNAMIC_FVG,SSL,False
VAR2,2026-04-13 04:22:00+00:00,BUY,4710.95,4708.66,4716.67,4716.67,2026-04-13 04:42:00,TP,5.72,DYNAMIC_FVG,SSL,False
VAR2,2026-04-13 04:37:00+00:00,BUY,4710.78,4708.22,4716.67,4716.67,2026-04-13 04:42:00,TP,5.89,DYNAMIC_FVG,SSL,False
VAR2,2026-04-13 04:57:00+00:00,SELL,4723.76,4726.05,4716.07,4726.05,2026-04-13 05:02:00,SL,-2.3,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 05:08:00+00:00,SELL,4721.98,4727.45,4716.07,4727.45,2026-04-13 05:56:00,SL,-5.47,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 05:42:00+00:00,SELL,4721.27,4726.01,4716.07,4726.01,2026-04-13 05:56:00,SL,-4.74,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 05:46:00+00:00,SELL,4723.96,4726.73,4716.07,4726.73,2026-04-13 05:56:00,SL,-2.77,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 05:51:00+00:00,SELL,4724.1,4725.77,4716.07,4725.77,2026-04-13 05:56:00,SL,-1.68,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 06:01:00+00:00,SELL,4727.58,4730.88,4716.07,4730.88,2026-04-13 06:16:00,SL,-3.3,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 06:08:00+00:00,SELL,4728.36,4730.55,4716.07,4730.55,2026-04-13 06:15:00,SL,-2.19,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 06:13:00+00:00,SELL,4725.1,4730.39,4716.07,4730.39,2026-04-13 06:15:00,SL,-5.29,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 06:30:00+00:00,SELL,4732.17,4729.97,4716.07,4729.97,2026-04-13 06:31:00,SL,2.2,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 06:40:00+00:00,SELL,4727.31,4732.12,4716.07,4732.12,2026-04-13 07:01:00,SL,-4.81,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 06:50:00+00:00,SELL,4722.15,4727.49,4716.07,4727.49,2026-04-13 07:00:00,SL,-5.34,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 07:08:00+00:00,SELL,4733.11,4738.73,4716.07,4738.73,2026-04-13 07:48:00,SL,-5.62,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 08:45:00+00:00,SELL,4721.27,4731.03,4720.86,4720.86,2026-04-13 09:09:00,TP,0.41,DYNAMIC_POOL,BSL,False
VAR2,2026-04-13 08:51:00+00:00,SELL,4725.95,4729.85,4720.86,4720.86,2026-04-13 09:09:00,TP,5.09,DYNAMIC_POOL,BSL,False
VAR2,2026-04-13 09:00:00+00:00,SELL,4724.15,4727.95,4720.86,4727.95,2026-04-13 09:03:00,SL,-3.8,DYNAMIC_POOL,BSL,False
VAR2,2026-04-13 09:22:00+00:00,SELL,4718.19,4728.65,4716.07,4716.07,2026-04-13 09:29:00,TP,2.12,DYNAMIC_FVG,BSL,False
VAR2,2026-04-13 09:36:00+00:00,BUY,4713.8,4709.96,4716.07,4716.07,2026-04-13 09:39:00,TP,2.27,DYNAMIC_FVG,SSL,False
VAR2,2026-04-13 09:52:00+00:00,BUY,4715.98,4709.6,4716.07,4716.07,2026-04-13 09:53:00,TP,0.09,DYNAMIC_FVG,SSL,False
VAR2,2026-04-13 10:37:00+00:00,BUY,4715.76,4710.44,4716.07,4716.07,2026-04-13 10:38:00,TP,0.31,DYNAMIC_FVG,SSL,False
