label,n,train_n,test_n,median_risk,trades_per_day,m0.75_all_pf,m0.75_all_pts,m0.75_train_pf,m0.75_train_pts,m0.75_test_pf,m0.75_test_pts,m1.00_all_pf,m1.00_all_pts,m1.00_train_pf,m1.00_train_pts,m1.00_test_pf,m1.00_test_pts,q_n,q0.45_all_pf,q0.45_all_pts,q0.45_train_pf,q0.45_train_pts,q0.45_test_pf,q0.45_test_pts,q0.70_all_pf,q0.70_all_pts,q0.70_train_pf,q0.70_train_pts,q0.70_test_pf,q0.70_test_pts,q0.70_wr,test_pos_month_share,test_max_month_share,gold_corr,up_months_pts,dn_months_pts,bar1_n,bar2_base,bar2_stress,bar3_train,bar4_monthly,bar5_regime,bars15,q_bar2_test_both
c03_f1.5_closed,1997,1211,786,3.9,3.76,0.925,-542.9,0.885,-361.5,0.956,-181.3,0.861,-1042.1,0.8,-664.3,0.91,-377.8,1997,0.935,-456.3,0.916,-253.9,0.949,-202.4,0.869,-955.5,0.827,-556.7,0.902,-398.9,38.2,0.4,,-0.31,-302.9,-239.9,True,False,False,False,False,True,2,False
s14_f3.0_m15closed_only,1604,859,745,3.49,3.02,0.934,-284.9,0.925,-173.4,0.945,-111.6,0.85,-685.9,0.84,-388.1,0.86,-297.8,1604,0.919,-340.0,0.905,-214.1,0.936,-125.9,0.835,-741.0,0.821,-428.8,0.851,-312.2,35.8,0.4,,0.38,-121.6,-163.3,True,False,False,True,False,True,3,False
s14_f3.0_m5closed_only,1474,792,682,3.49,2.78,1.181,653.6,1.115,225.2,1.262,428.3,1.075,285.1,1.013,27.3,1.149,257.8,1474,1.173,610.7,1.106,203.5,1.253,407.2,1.065,242.2,1.003,5.5,1.139,236.7,41.6,0.8,0.24,0.3,443.2,210.4,True,True,True,True,True,True,6,True
