label,strategy,status,cost,n,pf,pts,train_n,train_pf,train_pts,test_n,test_pf,test_pts,test_months,test_pos_month_share,test_max_month_share,gold_corr,up_months_pts,dn_months_pts,n_up,n_dn,bar1_n,bar2_base,bar3_train,bar4_monthly,bar5_regime,test_pf_stress,bar2_stress,bars_passed,verdict
c03_fvg_fill_above_c0.45,c03_fvg_fill,ok,0.45,1361,1.585,1989.5,936,1.487,903.3,425,1.703,1086.2,8,0.88,0.25,-0.03,1594.1,395.4,17.0,6.0,True,True,True,True,True,1.577,True,6,PASS
c03_fvg_fill_above_c0.80,c03_fvg_fill,ok,0.8,1361,1.415,1513.1,936,1.284,575.7,425,1.577,937.5,8,0.88,0.26,-0.08,1194.4,318.7,17.0,6.0,True,True,True,True,True,,False,5,(stress arm)
c03_fvg_fill_below_c0.45,c03_fvg_fill,ok,0.45,785,1.403,995.9,367,1.293,214.7,418,1.45,781.2,10,0.8,0.28,-0.71,306.6,689.2,16.0,8.0,True,True,True,True,True,1.35,True,6,PASS
c03_fvg_fill_below_c0.80,c03_fvg_fill,ok,0.8,785,1.276,721.1,367,1.108,86.2,418,1.35,634.9,10,0.8,0.3,-0.67,193.2,527.9,16.0,8.0,True,True,True,True,True,,False,5,(stress arm)
c03_fvg_fill_buy_c0.45,c03_fvg_fill,ok,0.45,1249,1.395,1208.6,807,1.41,600.3,442,1.38,608.2,10,0.8,0.32,0.48,1200.1,8.4,17.0,8.0,True,True,True,True,True,1.269,True,6,PASS
c03_fvg_fill_buy_c0.80,c03_fvg_fill,ok,0.8,1249,1.235,771.4,807,1.198,317.9,442,1.269,453.5,10,0.5,0.38,0.44,874.3,-102.9,17.0,8.0,True,True,True,False,False,,False,3,(stress arm)
c03_fvg_fill_noasia_c0.45,c03_fvg_fill,ok,0.45,2161,1.508,2982.3,1323,1.429,1125.7,838,1.571,1856.6,10,1.0,0.24,-0.38,1897.6,1084.6,17.0,8.0,True,True,True,True,True,1.459,True,6,PASS
c03_fvg_fill_noasia_c0.80,c03_fvg_fill,ok,0.8,2161,1.355,2225.9,1323,1.232,662.6,838,1.459,1563.3,10,0.9,0.26,-0.37,1379.3,846.6,17.0,8.0,True,True,True,True,True,,False,5,(stress arm)
c03_fvg_fill_nolondon_c0.45,c03_fvg_fill,ok,0.45,1192,1.509,1859.4,734,1.375,609.8,458,1.616,1249.6,10,1.0,0.23,0.04,1348.9,510.5,17.0,8.0,True,True,True,True,True,1.516,True,6,PASS
c03_fvg_fill_nolondon_c0.80,c03_fvg_fill,ok,0.8,1192,1.372,1442.2,734,1.201,352.9,458,1.516,1089.3,10,1.0,0.24,0.05,1060.2,382.1,17.0,8.0,True,True,True,True,True,,False,5,(stress arm)
c03_fvg_fill_nony_c0.45,c03_fvg_fill,ok,0.45,980,1.491,1111.6,593,1.515,516.2,387,1.473,595.4,10,0.7,0.35,-0.66,516.4,595.1,17.0,8.0,True,True,True,True,True,1.345,True,6,PASS
c03_fvg_fill_nony_c0.80,c03_fvg_fill,ok,0.8,980,1.315,768.6,593,1.279,308.6,387,1.345,459.9,10,0.7,0.42,-0.66,284.7,483.8,17.0,8.0,True,True,True,True,True,,False,5,(stress arm)
c03_fvg_fill_sell_c0.45,c03_fvg_fill,ok,0.45,938,1.624,1805.2,527,1.46,544.8,411,1.738,1260.3,10,0.9,0.36,-0.65,729.8,1075.3,17.0,8.0,True,True,True,True,True,1.627,True,6,PASS
c03_fvg_fill_sell_c0.80,c03_fvg_fill,ok,0.8,938,1.482,1476.8,527,1.28,360.4,411,1.627,1116.5,10,0.9,0.39,-0.63,529.3,947.6,17.0,8.0,True,True,True,True,True,,False,5,(stress arm)
s14_ob_mit_bias_above_c0.45,s14_ob_mit_bias,ok,0.45,2647,1.607,2279.6,1829,1.563,1432.6,818,1.699,847.0,8,1.0,0.25,0.64,2029.6,250.0,17.0,6.0,True,True,True,True,True,1.416,True,6,PASS
s14_ob_mit_bias_above_c0.80,s14_ob_mit_bias,ok,0.8,2647,1.322,1353.2,1829,1.277,792.4,818,1.416,560.7,8,1.0,0.27,0.55,1228.8,124.4,17.0,6.0,True,True,True,True,True,,False,5,(stress arm)
