day,s93_fvg_scalp,s94_sweep_reversal,s99_mss_fvg,s100_m3_combo,c03_fvg_fill,s14_ob_mit_bias
2024-11-11 00:00:00+00:00,1.226,0.0,2.226,2.0315999999999996,5.7971,4.0711
2024-11-12 00:00:00+00:00,0.0,0.0,-5.3106,-0.5776000000000001,0.40849999999999986,1.1468999999999998
2024-11-13 00:00:00+00:00,1.0654,0.0,2.0654,-2.1396,1.8201999999999998,0.4949000000000001
2024-11-14 00:00:00+00:00,1.1226,0.0,3.611,4.213699999999999,2.056,-2.5213
2024-11-15 00:00:00+00:00,0.0,0.0,-1.4692,-3.4782,-2.8440000000000003,0.5601
2024-11-18 00:00:00+00:00,-0.24570000000000003,0.0,-0.2410000000000001,3.6768,-0.23920000000000008,-1.2395
2024-11-19 00:00:00+00:00,-1.3783,0.0,-1.6403,-8.3524,1.5109000000000001,1.7781
2024-11-20 00:00:00+00:00,1.1603,0.0,1.9118,-2.1514,-2.3786,3.5296000000000003
2024-11-21 00:00:00+00:00,-1.4954,0.0,2.0629,1.5444999999999998,-1.9549999999999998,0.5261
2024-11-22 00:00:00+00:00,1.1947,0.0,0.6660000000000001,-4.2909,9.3297,-0.0907
2024-11-25 00:00:00+00:00,0.0,0.0,-1.3326,1.2352000000000003,-1.8372000000000002,0.0
2024-11-26 00:00:00+00:00,0.0,0.0,-0.2549000000000001,-6.3424,-3.5766,0.5230000000000001
2024-11-27 00:00:00+00:00,1.2846,0.0,-1.4211,-4.8803,3.1670999999999996,-2.4607
2024-11-28 00:00:00+00:00,0.0,0.0,-1.5016,-2.9120999999999997,0.4739,0.0
2024-11-29 00:00:00+00:00,-2.6715,0.0,-1.3131,-5.9853,-0.36860000000000004,3.5408999999999997
2024-12-02 00:00:00+00:00,1.0601,0.0,2.252,-5.2294,-2.0664,-3.7553
2024-12-03 00:00:00+00:00,0.0,0.0,0.0,4.7301,-1.8517,0.5073000000000001
2024-12-04 00:00:00+00:00,1.3043,0.0,0.5894,-4.0280000000000005,-2.8429,1.7701
2024-12-05 00:00:00+00:00,1.2492,0.0,0.0,2.7579000000000002,6.2638,0.0
2024-12-06 00:00:00+00:00,-1.1242,0.0,-1.3874,-4.0643,-0.5049999999999999,-1.2477
2024-12-09 00:00:00+00:00,1.0453,0.0,2.096,-2.2607999999999997,-2.4149000000000003,0.5513999999999999
2024-12-10 00:00:00+00:00,-1.4145,0.0,-4.1102,1.3508999999999998,-1.4469,0.5093000000000001
2024-12-11 00:00:00+00:00,1.1847,0.0,0.0,-2.1151999999999997,0.829,-0.7618
2024-12-12 00:00:00+00:00,0.0,0.0,-1.398,1.0705,-6.5215,4.0459
2024-12-13 00:00:00+00:00,1.0122,0.0,2.2447999999999997,-1.1331,-2.4064,0.0
2024-12-16 00:00:00+00:00,-1.3219,0.0,-1.3219,-2.4054,-4.3193,2.2558
2024-12-17 00:00:00+00:00,-0.2178,0.0,-0.6184999999999998,-4.0876,2.1527000000000003,0.0
2024-12-18 00:00:00+00:00,0.0,0.0,0.0,0.5415999999999999,-4.0829,1.762
2024-12-19 00:00:00+00:00,0.0,0.0,-2.6612999999999998,-7.896599999999999,-1.8973999999999998,1.0463000000000002
2024-12-20 00:00:00+00:00,0.0,0.0,-1.4071,-5.5313,0.07650000000000001,0.5151999999999999
2024-12-23 00:00:00+00:00,0.0,0.0,0.0,1.8822999999999999,0.6252,0.0
2024-12-24 00:00:00+00:00,0.0,0.0,0.0,0.0,-1.768,0.0
2024-12-26 00:00:00+00:00,-1.4969,0.0,-1.4969,-0.5380999999999999,-1.9359,0.0
2024-12-27 00:00:00+00:00,1.18,0.0,1.18,-2.7272,-1.4397999999999997,0.0
2024-12-30 00:00:00+00:00,-3.8552,0.0,-1.6532,-0.6948999999999996,-0.8315000000000001,0.0
2024-12-31 00:00:00+00:00,0.0,0.0,0.9092999999999998,2.0618,1.5349000000000002,0.0
2025-01-02 00:00:00+00:00,2.5599,0.0,2.3712,3.9592,9.456800000000001,0.0
2025-01-03 00:00:00+00:00,-0.25550000000000006,0.0,-4.5299,-6.4444,0.5762,0.0
2025-01-06 00:00:00+00:00,-1.2349,0.0,0.6180999999999999,-4.1664,-5.1637,-3.6917999999999997
2025-01-07 00:00:00+00:00,2.2889,0.0,-0.2432,0.6566999999999998,-4.2381,-1.2133
2025-01-08 00:00:00+00:00,0.9301999999999999,0.0,-0.3225,0.7290000000000001,-0.20950000000000002,-0.7328000000000001
2025-01-09 00:00:00+00:00,1.0652,0.0,0.0,-5.781,1.3825000000000003,0.5829000000000002
2025-01-10 00:00:00+00:00,-1.2111,2.9664,-1.2111,0.03530000000000011,1.6696000000000002,-1.264
2025-01-13 00:00:00+00:00,0.0,0.0,-0.1391,0.00010000000000021103,-0.4615,2.2357
2025-01-14 00:00:00+00:00,0.0,0.0,1.2315,0.4712,0.20989999999999998,-3.7599
2025-01-15 00:00:00+00:00,-1.5270000000000001,-1.3426,0.0,-0.6515000000000002,2.9354,-1.2606
2025-01-16 00:00:00+00:00,0.0,0.0,-2.8265000000000002,-5.5232,2.3562,5.2602
2025-01-17 00:00:00+00:00,0.0,0.0,0.0,-1.3846,-0.4736999999999999,0.0
2025-01-20 00:00:00+00:00,0.0,4.037100000000001,-1.4396,-1.4819,-2.9156,0.0
2025-01-21 00:00:00+00:00,1.0294,0.0,1.0294,1.1835000000000004,-1.3376,0.49929999999999986
2025-01-22 00:00:00+00:00,-1.2974,0.0,-0.2298,2.0495,0.2590999999999999,0.0
2025-01-23 00:00:00+00:00,0.0,-1.2721,0.0,-2.2881,-3.9840999999999998,0.5203
2025-01-24 00:00:00+00:00,0.0,0.0,0.0,-5.8481,0.8165,0.5552000000000001
2025-01-27 00:00:00+00:00,-0.3546999999999998,-1.2974,-1.4933,4.108199999999999,3.603999999999999,1.8116
