key,reason,signal_at,side,stop,adverse_fill,outcome,pts,pts_slip,lots,usd,r
s93_fvg_scalp,no_add_to_loser,2026-07-07 08:22:17.167124+00:00,BUY,4.414999999999964,0.3850000000002183,SL,-4.800000000000182,-5.060000000000182,0.08607021517553864,-43.55152887882412,-1.1460928652322138
s99_mss_fvg,no_add_to_loser,2026-07-08 08:47:12.505997+00:00,SELL,12.269999999999982,-3.2200000000002547,TP,21.620000000000346,21.620000000000346,0.03096984515077429,66.9568052159751,1.7620211898940814
s93_fvg_scalp,open_position_cap,2026-07-08 09:16:13.885761+00:00,SELL,6.085000000000036,-0.4450000000001637,TP,9.570000000000164,9.570000000000164,0.06244864420706618,59.76335250616336,1.5727198027937725
s93_fvg_scalp,no_add_to_loser,2026-07-09 12:16:03.754035+00:00,BUY,3.1549999999997453,-0.7649999999994179,SL,-2.3900000000003274,-2.650000000000327,0.1,-26.500000000003272,-0.8399366085580162
s99_mss_fvg,no_add_to_loser,2026-07-10 07:51:20.318427+00:00,SELL,3.7349999999996726,0.1750000000001819,TP,5.430000000000291,5.430000000000291,0.1,54.30000000000291,1.453815261044382
s99_mss_fvg,no_add_to_loser,2026-07-10 09:01:05.885727+00:00,SELL,1.855000000000473,0.8449999999993452,TP,1.9400000000005093,1.9400000000005093,0.1,19.400000000005093,1.045822102425884
s94_sweep_reversal,entry_drift,2026-07-13 06:13:13.011247+00:00,BUY,7.045000000000073,0.8350000000000364,TP,17.359999999999673,17.359999999999673,0.053938963804115836,93.63804116394331,2.4641589779985087
s99_mss_fvg,no_add_to_loser,2026-07-13 08:31:19.566373+00:00,BUY,2.9149999999999636,0.5650000000000546,TP,3.8099999999999454,3.8099999999999454,0.1,38.099999999999454,1.3070325900514557
s93_fvg_scalp,duplicate_entry,2026-07-13 12:01:19.507757+00:00,SELL,3.6900000000000546,0.4499999999998181,SL,-4.139999999999873,-4.3999999999998725,0.1,-43.99999999999873,-1.192411924119189
s99_mss_fvg,sl_too_tight,2026-07-13 12:58:18.187451+00:00,BUY,1.1700000000000728,1.0,TP,0.7599999999997635,0.7599999999997635,0.1,7.599999999997636,0.649572649572407
s99_mss_fvg,no_add_to_loser,2026-07-13 14:26:15.459194+00:00,SELL,13.579999999999927,-5.360000000000127,TP,25.730000000000018,25.730000000000018,0.027982326951399267,71.99852724595036,1.8946980854197464
s93_fvg_scalp,entry_drift,2026-07-13 14:55:03.532278+00:00,SELL,6.385000000000218,1.9549999999999272,SL,-8.340000000000146,-8.600000000000145,0.05951448707908959,-51.18245888801791,-1.3469068128425765
s94_sweep_reversal,metaapi_rejection,2026-07-13 16:47:03.653437+00:00,BUY,10.25,0.5300000000002001,SL,-10.7800000000002,-11.0400000000002,0.037073170731707315,-40.92878048780562,-1.077073170731727
s94_sweep_reversal,sl_too_tight,2026-07-13 22:19:13.224691+00:00,SELL,1.1349999999997635,-0.26499999999987267,TP,8.0300000000002,8.0300000000002,0.1,80.300000000002,7.07488986784306
s94_sweep_reversal,sl_too_tight,2026-07-14 00:05:13.480913+00:00,BUY,0.8399999999996908,1.1199999999998909,SL,-1.9599999999995816,-2.2199999999995814,0.1,-22.199999999995814,-2.6428571428576175
s94_sweep_reversal,entry_drift,2026-07-14 00:21:17.390612+00:00,BUY,3.7100000000000364,3.0799999999999272,TP,16.519999999999982,16.519999999999982,0.1,165.19999999999985,4.452830188679196
s94_sweep_reversal,sl_too_tight,2026-07-14 00:46:15.556694+00:00,SELL,1.3449999999998,0.9050000000002001,SL,-2.25,-2.51,0.1,-25.1,-1.8661710037177497
s99_mss_fvg,sl_too_tight,2026-07-14 07:14:13.066286+00:00,BUY,1.3049999999998363,-0.22499999999990905,TP,2.1799999999998363,2.1799999999998363,0.1,21.799999999998366,1.6704980842912718
s94_sweep_reversal,sl_too_tight,2026-07-14 09:34:18.873215+00:00,BUY,0.6449999999999818,0.36500000000023647,SL,-1.0100000000002183,-1.2700000000002183,0.1,-12.700000000002184,-1.9689922480624094
s99_mss_fvg,sl_too_tight,2026-07-14 11:31:17.620574+00:00,BUY,1.3649999999997817,1.0850000000000364,TP,0.9600000000000364,0.9600000000000364,0.1,9.600000000000364,0.7032967032968425
s94_sweep_reversal,news_blackout,2026-07-14 12:41:05.285886+00:00,SELL,15.554999999999836,3.8850000000002183,TIME,58.38499999999976,58.38499999999976,0.024429443908711282,142.63130826101025,3.7534554805529012
s93_fvg_scalp,open_position_cap,2026-07-14 13:01:13.415863+00:00,SELL,7.815000000000055,-1.1449999999999818,SL,-6.670000000000073,-6.9300000000000725,0.04862444017914234,-33.69673704414599,-0.8867562380038418
s94_sweep_reversal,no_add_to_loser,2026-07-14 15:51:01.314876+00:00,BUY,4.25,-0.4800000000000182,SL,-3.769999999999982,-4.029999999999982,0.08941176470588236,-36.03294117647042,-0.9482352941176427
s94_sweep_reversal,sl_too_tight,2026-07-15 03:41:09.998750+00:00,BUY,1.4100000000003092,0.4099999999998545,SL,-1.8200000000001637,-2.0800000000001635,0.1,-20.800000000001635,-1.4751773049643315
s94_sweep_reversal,sl_too_tight,2026-07-15 06:22:05.420736+00:00,BUY,1.1900000000000546,0.47000000000025466,SL,-1.6600000000003092,-1.9200000000003092,0.1,-19.200000000003094,-1.6134453781514464
s94_sweep_reversal,sl_too_tight,2026-07-15 07:38:09.115927+00:00,BUY,1.4349999999999454,-1.1150000000002365,SL,-0.31999999999970896,-0.579999999999709,0.1,-5.79999999999709,-0.4041811846688021
s94_sweep_reversal,entry_drift,2026-07-15 12:17:12.439459+00:00,SELL,2.7199999999998,0.6199999999998909,SL,-3.3399999999996908,-3.5999999999996906,0.1,-35.99999999999691,-1.3235294117646894
s94_sweep_reversal,sl_too_tight,2026-07-15 12:49:13.002627+00:00,SELL,1.2399999999997817,1.4200000000000728,SL,-2.6599999999998545,-2.9199999999998543,0.1,-29.199999999998543,-2.354838709677716
s94_sweep_reversal,sl_too_tight,2026-07-16 02:53:19.103842+00:00,BUY,1.4650000000001455,2.6950000000001637,TP,4.4099999999998545,4.4099999999998545,0.1,44.099999999998545,3.010238907849431
s99_mss_fvg,entry_drift,2026-07-16 06:13:03.074780+00:00,BUY,2.674999999999727,1.055000000000291,SL,-3.730000000000018,-3.990000000000018,0.1,-39.900000000000176,-1.4915887850468879
s94_sweep_reversal,sl_too_tight,2026-07-16 07:17:13.322128+00:00,BUY,1.1700000000000728,0.8200000000001637,SL,-1.9900000000002365,-2.2500000000002363,0.1,-22.500000000002363,-1.9230769230770055
s93_fvg_scalp,entry_drift,2026-07-16 09:28:05.192812+00:00,BUY,2.5900000000001455,1.9400000000000546,TP,1.949999999999818,1.949999999999818,0.1,19.49999999999818,0.7528957528956404
s93_fvg_scalp,entry_drift,2026-07-16 09:31:10.625308+00:00,SELL,2.525000000000091,1.3150000000000546,TP,2.4699999999998,2.4699999999998,0.1,24.699999999998003,0.9782178217820637
s99_mss_fvg,sl_too_tight,2026-07-16 11:35:12.566880+00:00,SELL,0.6399999999998727,0.9800000000000182,SL,-1.6199999999998909,-1.8799999999998909,0.1,-18.79999999999891,-2.937500000000414
s94_sweep_reversal,news_blackout,2026-07-16 12:26:12.714753+00:00,BUY,5.014999999999873,2.5950000000002547,SL,-7.610000000000127,-7.870000000000127,0.07577268195413951,-59.63310069790876,-1.569292123629178
s94_sweep_reversal,news_blackout,2026-07-16 12:31:20.935643+00:00,BUY,9.304999999999836,7.414999999999964,SL,-16.7199999999998,-16.9799999999998,0.040838259000538064,-69.34336378291283,-1.8248253627082323
s93_fvg_scalp,entry_drift,2026-07-16 13:11:04.546726+00:00,SELL,6.305000000000291,0.6349999999997635,SL,-6.940000000000055,-7.200000000000054,0.06026962727993378,-43.39413164155265,-1.1419508326724381
s94_sweep_reversal,entry_drift,2026-07-16 13:11:07.781119+00:00,BUY,10.715000000000146,2.994999999999891,SL,-13.710000000000036,-13.970000000000036,0.03546430237984086,-49.54363042463781,-1.3037797480167845
s99_mss_fvg,entry_drift,2026-07-16 13:11:13.122683+00:00,SELL,6.305000000000291,1.2550000000001091,SL,-7.5600000000004,-7.8200000000004,0.06026962727993378,-47.130848532910626,-1.2402854877081744
s93_fvg_scalp,entry_drift,2026-07-16 13:22:03.830414+00:00,BUY,7.1899999999996,1.0300000000002,TP,9.75,9.75,0.052851182197499465,51.52990264256198,1.3560500695411046
s94_sweep_reversal,soft_daily_brake,2026-07-16 19:49:17.532427+00:00,BUY,4.900000000000091,0.6899999999995998,TP,7.220000000000255,7.220000000000255,0.07755102040816182,55.991836734694814,1.4734693877551266
s94_sweep_reversal,sl_too_tight,2026-07-17 00:59:03.882383+00:00,SELL,0.5199999999999818,0.7800000000002001,SL,-1.300000000000182,-1.560000000000182,0.1,-15.60000000000182,-3.0000000000004547
s99_mss_fvg,entry_drift,2026-07-17 06:26:11.788748+00:00,BUY,2.1299999999996544,1.8099999999999454,TP,1.3800000000001091,1.3800000000001091,0.1,13.800000000001091,0.6478873239438183
s93_fvg_scalp,duplicate_entry,2026-07-17 08:26:20.679312+00:00,SELL,2.4850000000001273,0.15499999999974534,TP,3.5700000000001637,3.5700000000001637,0.1,35.700000000001644,1.4366197183098515
s99_mss_fvg,entry_drift,2026-07-17 09:00:18.569438+00:00,BUY,1.5549999999998363,1.3150000000000546,TP,1.0199999999999818,1.0199999999999818,0.1,10.199999999999818,0.6559485530547198
s93_fvg_scalp,no_add_to_loser,2026-07-17 12:11:20.518396+00:00,SELL,2.649999999999636,-0.8099999999999454,TP,4.7800000000002,4.7800000000002,0.1,47.800000000002,1.8037735849059835
s99_mss_fvg,news_blackout,2026-07-17 12:31:19.460948+00:00,SELL,1.9600000000000364,3.1099999999996726,TP,-0.169999999999618,-0.169999999999618,0.1,-1.6999999999961803,-0.08673469387735452
s99_mss_fvg,duplicate_entry,2026-07-17 13:05:09.767321+00:00,SELL,5.429999999999836,-0.5199999999999818,TP,8.66000000000031,8.66000000000031,0.0699815837937406,60.604051565381525,1.5948434622468821
s93_fvg_scalp,entry_drift,2026-07-17 13:46:05.636497+00:00,BUY,12.054999999999836,1.6350000000002183,TP,16.449999999999818,16.449999999999818,0.03152218996267152,51.85400248859408,1.3645790128577389
s94_sweep_reversal,entry_drift,2026-07-17 14:01:06.449252+00:00,SELL,5.434999999999945,3.6549999999997453,SL,-9.08999999999969,-9.34999999999969,0.06991720331186822,-65.37258509659463,-1.7203311867524902
s94_sweep_reversal,sl_too_tight,2026-07-17 20:47:15.942259+00:00,SELL,0.3799999999996544,-0.27999999999974534,SL,-0.09999999999990905,-0.35999999999990906,0.1,-3.5999999999990906,-0.9473684210532539
s94_sweep_reversal,entry_drift,2026-07-20 02:56:05.514334+00:00,SELL,5.614999999999782,2.724999999999909,SL,-8.33999999999969,-8.59999999999969,0.067675868210154,-58.201246660730355,-1.5316117542297463
s93_fvg_scalp,entry_drift,2026-07-20 07:52:01.898686+00:00,BUY,3.3299999999999272,2.1400000000003274,TP,2.849999999999909,2.849999999999909,0.1,28.499999999999094,0.8558558558558472
s99_mss_fvg,entry_drift,2026-07-20 07:52:21.000313+00:00,BUY,3.3299999999999272,2.6200000000003456,TP,2.369999999999891,2.369999999999891,0.1,23.699999999998912,0.7117117117116945
s99_mss_fvg,entry_drift,2026-07-20 11:43:01.563294+00:00,BUY,6.660000000000309,1.2399999999997817,SL,-7.900000000000091,-8.16000000000009,0.05705705705705441,-46.55855855855692,-1.225225225225182
s94_sweep_reversal,entry_drift,2026-07-20 12:11:20.562855+00:00,BUY,2.8149999999996,0.625,SL,-3.4399999999996,-3.6999999999995996,0.1,-36.999999999996,-1.3143872113677177
s93_fvg_scalp,entry_drift,2026-07-20 14:58:09.736102+00:00,BUY,4.1349999999997635,0.8049999999998363,TP,5.400000000000091,5.400000000000091,0.09189842805320961,49.62515114873403,1.3059250302298429
s94_sweep_reversal,entry_drift,2026-07-21 01:01:05.041615+00:00,SELL,2.0850000000000364,3.324999999999818,SL,-5.4099999999998545,-5.669999999999854,0.1,-56.69999999999854,-2.7194244604315374
s94_sweep_reversal,entry_drift,2026-07-21 02:46:16.299618+00:00,SELL,10.13000000000011,0.8899999999998727,SL,-11.019999999999982,-11.279999999999982,0.03751233958538953,-42.313919052319314,-1.1135241855873506
s93_fvg_scalp,entry_drift,2026-07-21 07:37:07.811422+00:00,SELL,2.625,1.5950000000002547,TP,2.3399999999996908,2.3399999999996908,0.1,23.399999999996908,0.8914285714284537
s93_fvg_scalp,entry_drift,2026-07-21 07:42:15.650253+00:00,BUY,2.0349999999998545,1.0949999999998,SL,-3.1299999999996544,-3.389999999999654,0.1,-33.899999999996545,-1.6658476658476151
s93_fvg_scalp,duplicate_entry,2026-07-21 08:33:11.271554+00:00,SELL,2.0300000000002,0.8899999999998727,TP,2.150000000000091,2.150000000000091,0.1,21.50000000000091,1.0591133004925513
s99_mss_fvg,entry_drift,2026-07-21 12:46:03.953298+00:00,SELL,3.7899999999999636,0.7599999999997635,SL,-4.549999999999727,-4.809999999999727,0.1,-48.09999999999727,-1.2691292875988847
s99_mss_fvg,soft_daily_brake,2026-07-21 13:51:05.288963+00:00,SELL,1.824999999999818,1.3350000000000364,TP,1.400000000000091,1.400000000000091,0.1,14.00000000000091,0.7671232876713592
s94_sweep_reversal,soft_daily_brake,2026-07-21 14:49:02.409948+00:00,SELL,4.224999999999909,1.3150000000000546,SL,-5.539999999999964,-5.799999999999963,0.0899408284023688,-52.16568047337358,-1.3727810650887784
s99_mss_fvg,sl_too_tight,2026-07-21 15:41:18.402632+00:00,BUY,1.3650000000002365,0.8249999999998181,SL,-2.1900000000000546,-2.4500000000000544,0.1,-24.500000000000544,-1.7948717948715238
s99_mss_fvg,entry_drift,2026-07-22 06:36:07.484100+00:00,SELL,5.720000000000255,0.5900000000001455,TP,7.989999999999782,7.989999999999782,0.06643356643356348,53.08041958041577,1.3968531468530465
