day,thr,trip_time,cum_at_trip,engine_before,copy_before,day_total,after_trip_realized
2026-07-10,150.0,2026-07-10 12:33:56.873470+00:00,-188.0,-188.0,0.0,-188.0,0.0
2026-08-07,150.0,2026-08-07 07:26:17.233720+00:00,-160.0,-160.0,0.0,-160.0,0.0
2026-08-12,150.0,2026-08-12 09:11:07.744523+00:00,-154.0,-135.0,-19.0,-211.0,-57.0
2026-08-18,150.0,2026-08-18 09:23:25.604850+00:00,-169.0,-53.0,-116.0,-233.0,-64.0
2026-08-25,150.0,2026-08-25 13:23:02.423026+00:00,-178.0,-178.0,0.0,-178.0,0.0
2026-08-28,250.0,2026-08-28 12:26:42.140852+00:00,-257.0,-134.0,-123.0,-369.0,-112.0
2026-09-09,250.0,2026-09-09 12:15:04.390684+00:00,-265.0,-116.0,-149.0,-369.0,-104.0
