label,n,mid_train_pf75,mid_test_pf75,mid_test_pf100,mid_test_pts100,q_train_pf45,q_train_pf70,q_train_pts70,q_test_pf45,q_test_pf70,q_test_pts70,q_test_n,q_test_pos_share,q_test_max_share,q_gold_corr,q_up_pts,q_dn_pts,bar1,bar2,bar3,bar4,bar5,n_outside_s5
s100_base_c0.75,4579,0.779,0.973,0.904,-831.4,0.784,0.696,-1570.8,0.963,0.893,-902.9,2432,0.4,,-0.28,-1210.1,-118.9,True,False,False,False,True,0
s100_er_off_w1600_c0.75,4547,0.769,0.976,0.907,-802.3,0.775,0.688,-1607.2,0.967,0.896,-866.8,2413,0.5,,-0.31,-1228.5,-108.8,True,False,False,False,True,0
s100_base_c1.00,4579,0.779,0.973,0.904,-831.4,0.784,0.696,-1570.8,0.963,0.893,-902.9,2432,0.4,,-0.28,-1210.1,-118.9,True,False,False,False,True,0
s100_minsl2.0_c0.75,3580,0.815,0.984,0.919,-655.6,0.822,0.742,-1018.3,0.969,0.903,-766.2,2134,0.4,,-0.29,-860.6,-28.9,True,False,False,False,True,0
s100_minsl2.5_c0.75,2798,0.822,1.014,0.952,-352.1,0.827,0.756,-746.6,0.997,0.935,-469.7,1804,0.5,,-0.32,-651.6,134.7,True,False,False,False,True,0
s100_minsl3.0_c0.75,2155,0.793,1.048,0.989,-69.8,0.797,0.736,-606.3,1.026,0.967,-214.3,1502,0.6,1.37,-0.29,-408.3,126.4,True,False,False,False,True,0
s100_hours_drop1_c0.75,4149,0.785,0.99,0.919,-624.8,0.791,0.702,-1389.1,0.983,0.91,-668.8,2201,0.5,,-0.17,-922.1,-98.6,True,False,False,False,True,0
s100_hours_drop12_c0.75,3762,0.779,0.985,0.914,-594.9,0.783,0.694,-1309.5,0.97,0.898,-687.0,1979,0.5,,-0.29,-1002.6,-53.3,True,False,False,False,True,0
s100_hours_drop123_c0.75,3444,0.775,1.024,0.952,-302.4,0.781,0.693,-1226.2,1.011,0.937,-382.1,1792,0.5,2.26,-0.32,-818.3,71.0,True,False,False,False,True,0
s100_hours_nyonly_c0.75,1611,0.733,1.066,1.003,8.5,0.721,0.645,-827.2,1.044,0.981,-56.3,722,0.6,0.97,-0.2,-479.7,-1.0,True,False,False,False,True,0
s100_hours_asialondon_c0.75,2968,0.817,0.924,0.852,-840.0,0.836,0.737,-743.6,0.919,0.846,-846.6,1710,0.4,,-0.27,-730.3,-117.9,True,False,False,False,True,0
s100_er_ranging_w1600_c0.75,3253,0.752,0.949,0.885,-740.7,0.764,0.678,-1215.5,0.944,0.878,-760.3,1703,0.4,,-0.36,-1094.3,-68.2,True,False,False,False,True,0
s100_er_strict_w1600_c0.75,398,0.526,1.165,1.093,80.8,0.542,0.478,-229.7,1.09,1.021,17.9,225,0.4,2.05,-0.64,-244.1,131.7,True,True,False,False,False,0
s100_tpr2.0_c0.75,4798,0.766,0.92,0.85,-1304.8,0.764,0.673,-1685.2,0.913,0.842,-1344.5,2565,0.3,,-0.31,-1503.2,-327.0,True,False,False,False,True,0
s100_tpr3.0_c0.75,4376,0.781,0.941,0.877,-1064.5,0.787,0.702,-1529.0,0.97,0.902,-815.5,2313,0.4,,-0.17,-1049.1,-201.5,True,False,False,False,True,0
s100_buy_c0.75,2404,0.74,0.906,0.837,-692.2,0.752,0.663,-895.4,0.889,0.818,-743.7,1261,0.2,,-0.1,-768.3,-269.8,True,False,False,False,True,0
s100_sell_c0.75,2179,0.823,1.039,0.971,-129.0,0.82,0.733,-669.9,1.035,0.966,-148.1,1174,0.6,1.13,-0.31,-435.2,162.0,True,False,False,False,True,0
s100_above_c0.75,2746,0.764,1.046,0.971,-123.8,0.766,0.68,-1176.8,1.009,0.934,-272.4,1232,0.25,4.89,-0.24,-745.4,-17.3,True,False,False,False,True,0
s100_below_c0.75,1817,0.81,0.904,0.841,-707.6,0.825,0.731,-390.4,0.919,0.853,-630.5,1200,0.4,,-0.18,-465.1,-101.6,True,False,False,False,True,0
