label,strategy,model,cost,n,pts,pf,wr,train_n,train_pts,train_pf,test_n,test_pts,test_pf,maxdd,test_months,test_pos_share,test_max_share,gold_corr,up_pts,dn_pts,bar1_n,bar2_base,bar3_train,bar4_monthly,bar5_regime,n_outside_s5
s100_er_off_w1600_c0.75,s100_m3_combo,quote_S5,0.7,4547,-2474.0,0.817,30.5,2134,-1607.2,0.688,2413,-866.8,0.896,-2485.0,10,0.4,,-0.28,-1988.2,-485.8,True,False,False,False,True,0.0
s100_er_ranging_w1600_c0.75,s100_m3_combo,mid_M1,0.75,3253,-1231.0,0.875,32.1,1550,-916.1,0.752,1703,-315.0,0.949,-1234.9,10,0.4,,-0.34,-1107.6,-123.4,True,False,False,False,True,
s100_er_ranging_w1600_c0.75,s100_m3_combo,mid_M1,1.0,3253,-2044.3,0.804,32.0,1550,-1303.6,0.671,1703,-740.7,0.885,-2045.7,10,0.3,,-0.32,-1649.3,-394.9,True,False,False,False,True,
s100_er_ranging_w1600_c0.75,s100_m3_combo,quote_S5,0.45,3253,-1162.5,0.877,29.8,1550,-828.0,0.764,1703,-334.5,0.944,-1168.6,10,0.4,,-0.36,-1094.3,-68.2,True,False,False,False,True,0.0
s100_er_ranging_w1600_c0.75,s100_m3_combo,quote_S5,0.7,3253,-1975.8,0.803,29.7,1550,-1215.5,0.678,1703,-760.3,0.878,-1979.6,10,0.3,,-0.34,-1636.1,-339.7,True,False,False,False,True,0.0
s100_er_strict_w1600_c0.75,s100_m3_combo,mid_M1,0.75,398,-69.5,0.945,31.9,173,-206.6,0.526,225,137.1,1.165,-276.4,10,0.4,1.07,-0.59,-213.5,143.9,True,True,False,False,False,
s100_er_strict_w1600_c0.75,s100_m3_combo,mid_M1,1.0,398,-169.0,0.873,31.7,173,-249.9,0.465,225,80.8,1.093,-330.6,10,0.4,1.74,-0.59,-279.7,110.7,True,True,False,False,False,
s100_er_strict_w1600_c0.75,s100_m3_combo,quote_S5,0.45,398,-112.4,0.909,29.1,173,-186.5,0.542,225,74.1,1.09,-256.9,10,0.4,2.05,-0.64,-244.1,131.7,True,True,False,False,False,0.0
s100_er_strict_w1600_c0.75,s100_m3_combo,quote_S5,0.7,398,-211.9,0.837,29.1,173,-229.7,0.478,225,17.9,1.021,-313.0,10,0.3,8.2,-0.64,-310.4,98.5,True,True,False,False,False,0.0
s100_hours_asialondon_c0.75,s100_m3_combo,mid_M1,0.75,2968,-917.5,0.888,33.3,1258,-505.0,0.817,1710,-412.5,0.924,-977.0,10,0.4,,-0.19,-744.7,-172.8,True,False,False,False,True,
s100_hours_asialondon_c0.75,s100_m3_combo,mid_M1,1.0,2968,-1659.5,0.808,33.2,1258,-819.5,0.724,1710,-840.0,0.852,-1682.7,10,0.2,,-0.15,-1232.9,-426.6,True,False,False,False,True,
s100_hours_asialondon_c0.75,s100_m3_combo,quote_S5,0.45,2968,-848.2,0.891,30.9,1258,-429.1,0.836,1710,-419.1,0.919,-925.3,10,0.4,,-0.27,-730.3,-117.9,True,False,False,False,True,0.0
s100_hours_asialondon_c0.75,s100_m3_combo,quote_S5,0.7,2968,-1590.2,0.809,30.7,1258,-743.6,0.737,1710,-846.6,0.846,-1628.8,10,0.3,,-0.22,-1218.6,-371.6,True,False,False,False,True,0.0
s100_hours_drop123_c0.75,s100_m3_combo,mid_M1,0.75,3444,-736.5,0.926,33.5,1652,-882.2,0.775,1792,145.6,1.024,-978.7,10,0.5,1.23,-0.28,-782.9,46.4,True,True,False,False,True,
s100_hours_drop123_c0.75,s100_m3_combo,mid_M1,1.0,3444,-1597.5,0.847,33.4,1652,-1295.2,0.692,1792,-302.4,0.952,-1609.1,10,0.3,,-0.25,-1355.7,-241.9,True,False,False,False,True,
s100_hours_drop123_c0.75,s100_m3_combo,quote_S5,0.45,3444,-747.3,0.921,31.0,1652,-813.2,0.781,1792,65.9,1.011,-951.8,10,0.5,2.26,-0.32,-818.3,71.0,True,True,False,False,True,0.0
s100_hours_drop123_c0.75,s100_m3_combo,quote_S5,0.7,3444,-1608.3,0.841,30.8,1652,-1226.2,0.693,1792,-382.1,0.937,-1621.8,10,0.3,,-0.3,-1391.0,-217.2,True,False,False,False,True,0.0
s100_hours_drop12_c0.75,s100_m3_combo,mid_M1,0.75,3762,-1025.9,0.905,33.2,1783,-925.7,0.779,1979,-100.2,0.985,-1046.0,10,0.5,,-0.21,-942.5,-83.4,True,False,False,False,True,
s100_hours_drop12_c0.75,s100_m3_combo,mid_M1,1.0,3762,-1966.4,0.828,33.1,1783,-1371.5,0.695,1979,-594.9,0.914,-1978.2,10,0.2,,-0.18,-1571.3,-395.2,True,False,False,False,True,
s100_hours_drop12_c0.75,s100_m3_combo,quote_S5,0.45,3762,-1056.0,0.898,30.6,1783,-863.8,0.783,1979,-192.2,0.97,-1089.4,10,0.5,,-0.29,-1002.6,-53.3,True,False,False,False,True,0.0
s100_hours_drop12_c0.75,s100_m3_combo,quote_S5,0.7,3762,-1996.5,0.819,30.4,1783,-1309.5,0.694,1979,-687.0,0.898,-2010.0,10,0.3,,-0.25,-1631.4,-365.1,True,False,False,False,True,0.0
s100_hours_drop1_c0.75,s100_m3_combo,mid_M1,0.75,4149,-1057.6,0.911,33.3,1948,-983.0,0.785,2201,-74.6,0.99,-1118.8,10,0.5,,-0.08,-886.9,-170.7,True,False,False,False,True,
s100_hours_drop1_c0.75,s100_m3_combo,mid_M1,1.0,4149,-2094.9,0.833,33.1,1948,-1470.0,0.699,2201,-624.8,0.919,-2103.8,10,0.2,,-0.05,-1579.4,-515.5,True,False,False,False,True,
s100_hours_drop1_c0.75,s100_m3_combo,quote_S5,0.45,4149,-1020.7,0.91,30.8,1948,-902.1,0.791,2201,-118.5,0.983,-1099.8,10,0.5,,-0.17,-922.1,-98.6,True,False,False,False,True,0.0
s100_hours_drop1_c0.75,s100_m3_combo,quote_S5,0.7,4149,-2057.9,0.83,30.6,1948,-1389.1,0.702,2201,-668.8,0.91,-2068.9,10,0.3,,-0.14,-1614.6,-443.3,True,False,False,False,True,0.0
s100_hours_nyonly_c0.75,s100_m3_combo,mid_M1,0.75,1611,-419.3,0.919,32.9,889,-608.3,0.733,722,189.0,1.066,-655.3,10,0.6,0.58,-0.18,-409.5,-9.8,True,True,False,False,True,
s100_hours_nyonly_c0.75,s100_m3_combo,mid_M1,1.0,1611,-822.0,0.848,32.8,889,-830.6,0.658,722,8.5,1.003,-890.5,10,0.5,10.69,-0.18,-685.5,-136.5,True,True,False,False,True,
s100_hours_nyonly_c0.75,s100_m3_combo,quote_S5,0.45,1611,-480.7,0.903,30.5,889,-604.9,0.721,722,124.2,1.044,-682.1,10,0.6,0.97,-0.2,-479.7,-1.0,True,True,False,False,True,0.0
s100_hours_nyonly_c0.75,s100_m3_combo,quote_S5,0.7,1611,-883.5,0.832,30.4,889,-827.2,0.645,722,-56.3,0.981,-919.9,10,0.5,,-0.19,-755.7,-127.8,True,False,False,False,True,0.0
s100_minsl2.0_c0.75,s100_m3_combo,mid_M1,0.75,3580,-840.6,0.928,33.2,1446,-718.4,0.815,2134,-122.1,0.984,-870.8,10,0.4,,-0.24,-764.0,-76.6,True,False,False,False,True,
s100_minsl2.0_c0.75,s100_m3_combo,mid_M1,1.0,3580,-1735.6,0.858,33.1,1446,-1079.9,0.738,2134,-655.6,0.919,-1758.7,10,0.3,,-0.2,-1346.7,-388.9,True,False,False,False,True,
s100_minsl2.0_c0.75,s100_m3_combo,quote_S5,0.45,3580,-889.5,0.921,31.2,1446,-656.8,0.822,2134,-232.7,0.969,-930.8,10,0.4,,-0.29,-860.6,-28.9,True,False,False,False,True,0.0
s100_minsl2.0_c0.75,s100_m3_combo,quote_S5,0.7,3580,-1784.5,0.85,31.0,1446,-1018.3,0.742,2134,-766.2,0.903,-1805.6,10,0.3,,-0.25,-1443.3,-341.2,True,False,False,False,True,0.0
s100_minsl2.5_c0.75,s100_m3_combo,mid_M1,0.75,2798,-438.8,0.957,33.6,994,-537.6,0.822,1804,98.9,1.014,-645.5,10,0.6,2.44,-0.26,-545.7,106.9,True,True,False,False,True,
s100_minsl2.5_c0.75,s100_m3_combo,mid_M1,1.0,2798,-1138.3,0.892,33.4,994,-786.1,0.753,1804,-352.1,0.952,-1171.0,10,0.4,,-0.22,-989.2,-149.1,True,False,False,False,True,
s100_minsl2.5_c0.75,s100_m3_combo,quote_S5,0.45,2798,-516.8,0.947,31.7,994,-498.1,0.827,1804,-18.7,0.997,-742.1,10,0.5,,-0.32,-651.6,134.7,True,False,False,False,True,0.0
s100_minsl2.5_c0.75,s100_m3_combo,quote_S5,0.7,2798,-1216.3,0.882,31.6,994,-746.6,0.756,1804,-469.7,0.935,-1255.3,10,0.5,,-0.28,-1095.1,-121.3,True,False,False,False,True,0.0
s100_minsl3.0_c0.75,s100_m3_combo,mid_M1,0.75,2155,-165.6,0.981,33.8,653,-471.3,0.793,1502,305.7,1.048,-525.0,10,0.7,0.88,-0.27,-309.6,144.0,True,True,False,False,True,
s100_minsl3.0_c0.75,s100_m3_combo,mid_M1,1.0,2155,-704.4,0.922,33.5,653,-634.6,0.734,1502,-69.8,0.989,-826.9,10,0.6,,-0.23,-640.1,-64.2,True,False,False,False,True,
s100_minsl3.0_c0.75,s100_m3_combo,quote_S5,0.45,2155,-281.9,0.966,32.0,653,-443.1,0.797,1502,161.2,1.026,-562.0,10,0.6,1.37,-0.29,-408.3,126.4,True,True,False,False,True,0.0
s100_minsl3.0_c0.75,s100_m3_combo,quote_S5,0.7,2155,-820.6,0.906,31.8,653,-606.3,0.736,1502,-214.3,0.967,-939.1,10,0.4,,-0.26,-738.8,-81.8,True,False,False,False,True,0.0
s100_sell_c0.75,s100_m3_combo,mid_M1,0.75,2179,-267.4,0.96,34.0,1005,-431.9,0.823,1174,164.5,1.039,-565.1,10,0.6,1.21,-0.32,-401.6,134.2,True,True,False,False,True,
s100_sell_c0.75,s100_m3_combo,mid_M1,1.0,2179,-812.2,0.885,34.0,1005,-683.2,0.738,1174,-129.0,0.971,-883.9,10,0.4,,-0.27,-738.6,-73.6,True,False,False,False,True,
s100_sell_c0.75,s100_m3_combo,quote_S5,0.45,2179,-273.2,0.958,31.3,1005,-418.7,0.82,1174,145.4,1.035,-606.9,10,0.6,1.13,-0.31,-435.2,162.0,True,True,False,False,True,0.0
s100_sell_c0.75,s100_m3_combo,quote_S5,0.7,2179,-818.0,0.88,31.3,1005,-669.9,0.733,1174,-148.1,0.966,-932.4,10,0.6,,-0.26,-772.2,-45.8,True,False,False,False,True,0.0
s100_tpr2.0_c0.75,s100_m3_combo,mid_M1,0.75,4798,-1822.0,0.862,37.1,2233,-1158.5,0.766,2565,-663.5,0.92,-1834.9,10,0.3,,-0.32,-1461.0,-361.0,True,False,False,False,True,
s100_tpr2.0_c0.75,s100_m3_combo,mid_M1,1.0,4798,-3021.5,0.784,37.0,2233,-1716.7,0.677,2565,-1304.8,0.85,-3032.2,10,0.1,,-0.28,-2259.7,-761.8,True,False,False,False,True,
s100_tpr2.0_c0.75,s100_m3_combo,quote_S5,0.45,4798,-1830.2,0.858,33.8,2233,-1126.9,0.764,2565,-703.3,0.913,-1845.8,10,0.3,,-0.31,-1503.2,-327.0,True,False,False,False,True,0.0
s100_tpr2.0_c0.75,s100_m3_combo,quote_S5,0.7,4798,-3029.7,0.778,33.8,2233,-1685.2,0.673,2565,-1344.5,0.842,-3043.1,10,0.0,,-0.26,-2302.0,-727.7,True,False,False,False,True,0.0
s100_tpr3.0_c0.75,s100_m3_combo,mid_M1,0.75,4376,-1589.4,0.88,29.9,2063,-1103.2,0.781,2313,-486.2,0.941,-1640.1,10,0.4,,-0.04,-1156.5,-432.9,True,False,False,False,True,
s100_tpr3.0_c0.75,s100_m3_combo,mid_M1,1.0,4376,-2683.4,0.809,29.7,2063,-1619.0,0.7,2313,-1064.5,0.877,-2703.5,10,0.1,,-0.02,-1889.7,-793.7,True,False,False,False,True,
s100_tpr3.0_c0.75,s100_m3_combo,quote_S5,0.45,4376,-1250.5,0.901,28.2,2063,-1013.3,0.787,2313,-237.3,0.97,-1365.3,10,0.4,,-0.17,-1049.1,-201.5,True,False,False,False,True,0.0
s100_tpr3.0_c0.75,s100_m3_combo,quote_S5,0.7,4376,-2344.5,0.825,27.9,2063,-1529.0,0.702,2313,-815.5,0.902,-2366.2,10,0.3,,-0.14,-1782.3,-562.2,True,False,False,False,True,0.0
