split,reopen_excluded,kind,set,window,n_events,clock_share,share,share_dayavg,ratio,null_mean,null_sd,z,p_one_sided,primary,ci_lo,ci_hi
TEST,True,X60,killzones,KZ_Asia,196,0.1739,0.1939,0.1939,1.115,,,,,,,
TEST,True,X60,killzones,KZ_London,196,0.1304,0.0255,0.0255,0.196,,,,,,,
TEST,True,X60,killzones,KZ_NYAM,196,0.1304,0.3316,0.3316,2.543,,,,,,,
TEST,True,X60,killzones,KZ_LondonClose,196,0.087,0.1837,0.1837,2.112,,,,,,,
TEST,True,X60,killzones,UNION,196,0.5217,0.7347,0.7347,1.408,,,,,,,
TEST,True,X60,macros,M_0950,196,0.0145,0.0306,0.0306,2.112,,,,,,,
TEST,True,X60,macros,M_1050,196,0.0145,0.0561,0.0561,3.872,,,,,,,
TEST,True,X60,macros,M_1310,196,0.0217,0.0153,0.0153,0.704,,,,,,,
TEST,True,X60,macros,M_1515,196,0.0217,0.0051,0.0051,0.235,,,,,,,
TEST,True,X60,macros,UNION,196,0.0725,0.1071,0.1071,1.479,,,,,,,
TEST,True,X60,silver_bullet,SB_03,196,0.0435,0.0051,0.0051,0.117,,,,,,,
TEST,True,X60,silver_bullet,SB_10,196,0.0435,0.1224,0.1224,2.816,,,,,,,
TEST,True,X60,silver_bullet,SB_14,196,0.0435,0.051,0.051,1.173,,,,,,,
TEST,True,X60,silver_bullet,UNION,196,0.1304,0.1786,0.1786,1.369,,,,,,,
TEST,True,X60,calib_0800_1159,CAL_08_12,196,0.1739,0.4796,0.4796,2.758,,,,,,,
TEST,True,X60,reopen_15,REOPEN15,196,0.0109,0.0,0.0,0.0,,,,,,,
TEST,True,X60,reopen_30,REOPEN30,196,0.0217,0.0,0.0,0.0,,,,,,,
TEST,True,X300,killzones,KZ_Asia,194,0.1739,0.1907,0.1907,1.097,,,,,,,
TEST,True,X300,killzones,KZ_London,194,0.1304,0.0258,0.0258,0.198,,,,,,,
TEST,True,X300,killzones,KZ_NYAM,194,0.1304,0.3608,0.3608,2.766,,,,,,,
TEST,True,X300,killzones,KZ_LondonClose,194,0.087,0.1856,0.1856,2.134,,,,,,,
TEST,True,X300,killzones,UNION,194,0.5217,0.7629,0.7629,1.462,,,,,,,
TEST,True,X300,macros,M_0950,194,0.0145,0.0619,0.0619,4.268,,,,,,,
TEST,True,X300,macros,M_1050,194,0.0145,0.0412,0.0412,2.845,,,,,,,
TEST,True,X300,macros,M_1310,194,0.0217,0.0103,0.0103,0.474,,,,,,,
TEST,True,X300,macros,M_1515,194,0.0217,0.0103,0.0103,0.474,,,,,,,
TEST,True,X300,macros,UNION,194,0.0725,0.1237,0.1237,1.707,,,,,,,
TEST,True,X300,silver_bullet,SB_03,194,0.0435,0.0052,0.0052,0.119,,,,,,,
TEST,True,X300,silver_bullet,SB_10,194,0.0435,0.1237,0.1237,2.845,,,,,,,
TEST,True,X300,silver_bullet,SB_14,194,0.0435,0.0309,0.0309,0.711,,,,,,,
TEST,True,X300,silver_bullet,UNION,194,0.1304,0.1598,0.1598,1.225,,,,,,,
TEST,True,X300,calib_0800_1159,CAL_08_12,194,0.1739,0.5258,0.5258,3.023,,,,,,,
TEST,True,X300,reopen_15,REOPEN15,194,0.0109,0.0,0.0,0.0,,,,,,,
TEST,True,X300,reopen_30,REOPEN30,194,0.0217,0.0,0.0,0.0,,,,,,,
TEST,True,BURST,killzones,KZ_Asia,141990,0.1739,0.1936,0.1923,1.113,,,,,,,
TEST,True,BURST,killzones,KZ_London,141990,0.1304,0.1533,0.1492,1.176,,,,,,,
TEST,True,BURST,killzones,KZ_NYAM,141990,0.1304,0.14,0.1392,1.074,,,,,,,
TEST,True,BURST,killzones,KZ_LondonClose,141990,0.087,0.0966,0.096,1.111,,,,,,,
TEST,True,BURST,killzones,UNION,141990,0.5217,0.5835,0.5767,1.118,,,,,,,
TEST,True,BURST,macros,M_0950,141990,0.0145,0.0108,0.0111,0.742,,,,,,,
TEST,True,BURST,macros,M_1050,141990,0.0145,0.0168,0.0167,1.16,,,,,,,
TEST,True,BURST,macros,M_1310,141990,0.0217,0.0237,0.023,1.092,,,,,,,
TEST,True,BURST,macros,M_1515,141990,0.0217,0.0177,0.0174,0.814,,,,,,,
TEST,True,BURST,macros,UNION,141990,0.0725,0.069,0.0682,0.952,,,,,,,
TEST,True,BURST,silver_bullet,SB_03,141990,0.0435,0.0531,0.0519,1.221,,,,,,,
TEST,True,BURST,silver_bullet,SB_10,141990,0.0435,0.0424,0.043,0.975,,,,,,,
TEST,True,BURST,silver_bullet,SB_14,141990,0.0435,0.0368,0.0363,0.845,,,,,,,
TEST,True,BURST,silver_bullet,UNION,141990,0.1304,0.1323,0.1312,1.014,,,,,,,
TEST,True,BURST,calib_0800_1159,CAL_08_12,141990,0.1739,0.1908,0.1906,1.097,,,,,,,
TEST,True,BURST,reopen_15,REOPEN15,141990,0.0109,0.0,0.0,0.0,,,,,,,
TEST,True,BURST,reopen_30,REOPEN30,141990,0.0217,0.0,0.0,0.0,,,,,,,
TEST,True,BURSTREL,killzones,KZ_Asia,127302,0.1739,0.1953,0.1949,1.123,,,,,,,
TEST,True,BURSTREL,killzones,KZ_London,127302,0.1304,0.1443,0.1396,1.106,,,,,,,
TEST,True,BURSTREL,killzones,KZ_NYAM,127302,0.1304,0.16,0.1632,1.226,,,,,,,
TEST,True,BURSTREL,killzones,KZ_LondonClose,127302,0.087,0.1215,0.126,1.398,,,,,,,
TEST,True,BURSTREL,killzones,UNION,127302,0.5217,0.6211,0.6237,1.19,,,,,,,
TEST,True,BURSTREL,macros,M_0950,127302,0.0145,0.0175,0.0191,1.208,,,,,,,
TEST,True,BURSTREL,macros,M_1050,127302,0.0145,0.0215,0.0223,1.485,,,,,,,
TEST,True,BURSTREL,macros,M_1310,127302,0.0217,0.0231,0.0225,1.061,,,,,,,
TEST,True,BURSTREL,macros,M_1515,127302,0.0217,0.0162,0.0156,0.743,,,,,,,
TEST,True,BURSTREL,macros,UNION,127302,0.0725,0.0782,0.0795,1.079,,,,,,,
TEST,True,BURSTREL,silver_bullet,SB_03,127302,0.0435,0.0495,0.048,1.138,,,,,,,
TEST,True,BURSTREL,silver_bullet,SB_10,127302,0.0435,0.0592,0.063,1.361,,,,,,,
TEST,True,BURSTREL,silver_bullet,SB_14,127302,0.0435,0.0324,0.0319,0.744,,,,,,,
TEST,True,BURSTREL,silver_bullet,UNION,127302,0.1304,0.141,0.1429,1.081,,,,,,,
TEST,True,BURSTREL,calib_0800_1159,CAL_08_12,127302,0.1739,0.239,0.2481,1.374,,,,,,,
TEST,True,BURSTREL,reopen_15,REOPEN15,127302,0.0109,0.0,0.0,0.0,,,,,,,
TEST,True,BURSTREL,reopen_30,REOPEN30,127302,0.0217,0.0,0.0,0.0,,,,,,,
