split,reopen_excluded,kind,set,window,n_events,clock_share,share,share_dayavg,ratio,null_mean,null_sd,z,p_one_sided,primary,ci_lo,ci_hi
TEST,False,H,killzones,KZ_LondonClose,202,0.087,0.1832,0.1832,2.106,,,,,,,
TEST,False,H,killzones,UNION,202,0.5217,0.5495,0.5495,1.053,,,,,,,
TEST,False,H,macros,M_0950,202,0.0145,0.0594,0.0594,4.099,,,,,,,
TEST,False,H,macros,M_1050,202,0.0145,0.005,0.005,0.342,,,,,,,
TEST,False,H,macros,M_1310,202,0.0217,0.0198,0.0198,0.911,,,,,,,
TEST,False,H,macros,M_1515,202,0.0217,0.0149,0.0149,0.683,,,,,,,
TEST,False,H,macros,UNION,202,0.0725,0.099,0.099,1.366,,,,,,,
TEST,False,H,silver_bullet,SB_03,202,0.0435,0.0248,0.0248,0.569,,,,,,,
TEST,False,H,silver_bullet,SB_10,202,0.0435,0.099,0.099,2.277,,,,,,,
TEST,False,H,silver_bullet,SB_14,202,0.0435,0.0396,0.0396,0.911,,,,,,,
TEST,False,H,silver_bullet,UNION,202,0.1304,0.1634,0.1634,1.252,,,,,,,
TEST,False,H,calib_0800_1159,CAL_08_12,202,0.1739,0.2921,0.2921,1.679,,,,,,,
TEST,False,H,reopen_15,REOPEN15,202,0.0109,0.0446,0.0446,4.099,,,,,,,
TEST,False,H,reopen_30,REOPEN30,202,0.0217,0.0792,0.0792,3.644,,,,,,,
TEST,False,L,killzones,KZ_Asia,202,0.1739,0.1832,0.1832,1.053,,,,,,,
TEST,False,L,killzones,KZ_London,202,0.1304,0.0495,0.0495,0.38,,,,,,,
TEST,False,L,killzones,KZ_NYAM,202,0.1304,0.1188,0.1188,0.911,,,,,,,
TEST,False,L,killzones,KZ_LondonClose,202,0.087,0.1535,0.1535,1.765,,,,,,,
TEST,False,L,killzones,UNION,202,0.5217,0.505,0.505,0.968,,,,,,,
TEST,False,L,macros,M_0950,202,0.0145,0.0297,0.0297,2.05,,,,,,,
TEST,False,L,macros,M_1050,202,0.0145,0.0149,0.0149,1.025,,,,,,,
TEST,False,L,macros,M_1310,202,0.0217,0.005,0.005,0.228,,,,,,,
TEST,False,L,macros,M_1515,202,0.0217,0.0396,0.0396,1.822,,,,,,,
TEST,False,L,macros,UNION,202,0.0725,0.0891,0.0891,1.23,,,,,,,
TEST,False,L,silver_bullet,SB_03,202,0.0435,0.0198,0.0198,0.455,,,,,,,
TEST,False,L,silver_bullet,SB_10,202,0.0435,0.104,0.104,2.391,,,,,,,
TEST,False,L,silver_bullet,SB_14,202,0.0435,0.0297,0.0297,0.683,,,,,,,
TEST,False,L,silver_bullet,UNION,202,0.1304,0.1535,0.1535,1.177,,,,,,,
TEST,False,L,calib_0800_1159,CAL_08_12,202,0.1739,0.2624,0.2624,1.509,,,,,,,
TEST,False,L,reopen_15,REOPEN15,202,0.0109,0.0743,0.0743,6.832,,,,,,,
TEST,False,L,reopen_30,REOPEN30,202,0.0217,0.1089,0.1089,5.01,,,,,,,
TEST,False,HL,killzones,KZ_Asia,404,0.1739,0.1881,0.1881,1.082,,,,,,,
TEST,False,HL,killzones,KZ_London,404,0.1304,0.047,0.047,0.361,,,,,,,
TEST,False,HL,killzones,KZ_NYAM,404,0.1304,0.1238,0.1238,0.949,,,,,,,
TEST,False,HL,killzones,KZ_LondonClose,404,0.087,0.1683,0.1683,1.936,,,,,,,
TEST,False,HL,killzones,UNION,404,0.5217,0.5272,0.5272,1.011,1.004,0.283,0.02,0.481,True,0.923,1.105
TEST,False,HL,macros,M_0950,404,0.0145,0.0446,0.0446,3.074,,,,,,,
TEST,False,HL,macros,M_1050,404,0.0145,0.0099,0.0099,0.683,,,,,,,
TEST,False,HL,macros,M_1310,404,0.0217,0.0124,0.0124,0.569,,,,,,,
TEST,False,HL,macros,M_1515,404,0.0217,0.0272,0.0272,1.252,,,,,,,
TEST,False,HL,macros,UNION,404,0.0725,0.0941,0.0941,1.298,1.003,0.447,0.66,0.2505,True,0.904,1.708
TEST,False,HL,silver_bullet,SB_03,404,0.0435,0.0223,0.0223,0.512,,,,,,,
TEST,False,HL,silver_bullet,SB_10,404,0.0435,0.1015,0.1015,2.334,,,,,,,
TEST,False,HL,silver_bullet,SB_14,404,0.0435,0.0347,0.0347,0.797,,,,,,,
TEST,False,HL,silver_bullet,UNION,404,0.1304,0.1584,0.1584,1.215,1.01,0.431,0.47,0.3015,True,0.949,1.499
TEST,False,HL,calib_0800_1159,CAL_08_12,404,0.1739,0.2772,0.2772,1.594,,,,,,,
TEST,False,HL,reopen_15,REOPEN15,404,0.0109,0.0594,0.0594,5.465,,,,,,,
TEST,False,HL,reopen_30,REOPEN30,404,0.0217,0.0941,0.0941,4.327,,,,,,,
TEST,False,X60,killzones,KZ_Asia,202,0.1739,0.1881,0.1881,1.082,,,,,,,
TEST,False,X60,killzones,KZ_London,202,0.1304,0.0248,0.0248,0.19,,,,,,,
TEST,False,X60,killzones,KZ_NYAM,202,0.1304,0.3218,0.3218,2.467,,,,,,,
TEST,False,X60,killzones,KZ_LondonClose,202,0.087,0.1782,0.1782,2.05,,,,,,,
TEST,False,X60,killzones,UNION,202,0.5217,0.7129,0.7129,1.366,0.997,0.338,1.09,0.162,True,1.252,1.49
TEST,False,X60,macros,M_0950,202,0.0145,0.0297,0.0297,2.05,,,,,,,
TEST,False,X60,macros,M_1050,202,0.0145,0.0545,0.0545,3.757,,,,,,,
TEST,False,X60,macros,M_1310,202,0.0217,0.0149,0.0149,0.683,,,,,,,
TEST,False,X60,macros,M_1515,202,0.0217,0.005,0.005,0.228,,,,,,,
TEST,False,X60,macros,UNION,202,0.0725,0.104,0.104,1.435,0.987,0.624,0.72,0.204,True,0.888,2.05
TEST,False,X60,silver_bullet,SB_03,202,0.0435,0.005,0.005,0.114,,,,,,,
TEST,False,X60,silver_bullet,SB_10,202,0.0435,0.1188,0.1188,2.733,,,,,,,
TEST,False,X60,silver_bullet,SB_14,202,0.0435,0.0495,0.0495,1.139,,,,,,,
TEST,False,X60,silver_bullet,UNION,202,0.1304,0.1733,0.1733,1.328,1.014,0.548,0.57,0.302,True,0.967,1.746
TEST,False,X60,calib_0800_1159,CAL_08_12,202,0.1739,0.4653,0.4653,2.676,,,,,,,
TEST,False,X60,reopen_15,REOPEN15,202,0.0109,0.0099,0.0099,0.911,,,,,,,
TEST,False,X60,reopen_30,REOPEN30,202,0.0217,0.0198,0.0198,0.911,,,,,,,
TEST,False,X300,killzones,KZ_Asia,202,0.1739,0.1832,0.1832,1.053,,,,,,,
TEST,False,X300,killzones,KZ_London,202,0.1304,0.0248,0.0248,0.19,,,,,,,
TEST,False,X300,killzones,KZ_NYAM,202,0.1304,0.3465,0.3465,2.657,,,,,,,
TEST,False,X300,killzones,KZ_LondonClose,202,0.087,0.1782,0.1782,2.05,,,,,,,
TEST,False,X300,killzones,UNION,202,0.5217,0.7327,0.7327,1.404,0.997,0.382,1.06,0.1645,True,1.29,1.528
TEST,False,X300,macros,M_0950,202,0.0145,0.0594,0.0594,4.099,,,,,,,
TEST,False,X300,macros,M_1050,202,0.0145,0.0396,0.0396,2.733,,,,,,,
TEST,False,X300,macros,M_1310,202,0.0217,0.0099,0.0099,0.455,,,,,,,
TEST,False,X300,macros,M_1515,202,0.0217,0.0099,0.0099,0.455,,,,,,,
TEST,False,X300,macros,UNION,202,0.0725,0.1188,0.1188,1.64,1.014,0.672,0.93,0.1755,True,1.025,2.254
TEST,False,X300,silver_bullet,SB_03,202,0.0435,0.005,0.005,0.114,,,,,,,
TEST,False,X300,silver_bullet,SB_10,202,0.0435,0.1188,0.1188,2.733,,,,,,,
TEST,False,X300,silver_bullet,SB_14,202,0.0435,0.0297,0.0297,0.683,,,,,,,
TEST,False,X300,silver_bullet,UNION,202,0.1304,0.1535,0.1535,1.177,1.01,0.636,0.26,0.3485,True,0.815,1.518
TEST,False,X300,calib_0800_1159,CAL_08_12,202,0.1739,0.505,0.505,2.903,,,,,,,
TEST,False,X300,reopen_15,REOPEN15,202,0.0109,0.0198,0.0198,1.822,,,,,,,
TEST,False,X300,reopen_30,REOPEN30,202,0.0217,0.0297,0.0297,1.366,,,,,,,
TEST,False,BURST,killzones,KZ_Asia,144020,0.1739,0.1908,0.1895,1.097,,,,,,,
TEST,False,BURST,killzones,KZ_London,144020,0.1304,0.1512,0.1471,1.159,,,,,,,
TEST,False,BURST,killzones,KZ_NYAM,144020,0.1304,0.1381,0.1374,1.059,,,,,,,
TEST,False,BURST,killzones,KZ_LondonClose,144020,0.087,0.0952,0.0948,1.095,,,,,,,
TEST,False,BURST,killzones,UNION,144020,0.5217,0.5753,0.5688,1.103,0.999,0.063,1.63,0.0295,True,1.082,1.124
TEST,False,BURST,macros,M_0950,144020,0.0145,0.0106,0.0109,0.732,,,,,,,
TEST,False,BURST,macros,M_1050,144020,0.0145,0.0166,0.0165,1.144,,,,,,,
TEST,False,BURST,macros,M_1310,144020,0.0217,0.0234,0.0227,1.076,,,,,,,
TEST,False,BURST,macros,M_1515,144020,0.0217,0.0175,0.0172,0.803,,,,,,,
TEST,False,BURST,macros,UNION,144020,0.0725,0.068,0.0673,0.939,1.001,0.103,-0.6,0.7365,True,0.906,0.97
TEST,False,BURST,silver_bullet,SB_03,144020,0.0435,0.0524,0.0512,1.204,,,,,,,
TEST,False,BURST,silver_bullet,SB_10,144020,0.0435,0.0418,0.0424,0.961,,,,,,,
TEST,False,BURST,silver_bullet,SB_14,144020,0.0435,0.0362,0.0358,0.833,,,,,,,
TEST,False,BURST,silver_bullet,UNION,144020,0.1304,0.1304,0.1294,1.0,1.003,0.106,-0.03,0.544,True,0.977,1.023
TEST,False,BURST,calib_0800_1159,CAL_08_12,144020,0.1739,0.1881,0.1882,1.082,,,,,,,
TEST,False,BURST,reopen_15,REOPEN15,144020,0.0109,0.0035,0.004,0.325,,,,,,,
TEST,False,BURST,reopen_30,REOPEN30,144020,0.0217,0.0113,0.0118,0.519,,,,,,,
TEST,False,BURSTREL,killzones,KZ_Asia,129118,0.1739,0.1926,0.1921,1.107,,,,,,,
TEST,False,BURSTREL,killzones,KZ_London,129118,0.1304,0.1423,0.1377,1.091,,,,,,,
TEST,False,BURSTREL,killzones,KZ_NYAM,129118,0.1304,0.1577,0.1611,1.209,,,,,,,
TEST,False,BURSTREL,killzones,KZ_LondonClose,129118,0.087,0.1198,0.1244,1.378,,,,,,,
TEST,False,BURSTREL,killzones,UNION,129118,0.5217,0.6124,0.6153,1.174,0.999,0.091,1.92,0.0225,True,1.152,1.196
TEST,False,BURSTREL,macros,M_0950,129118,0.0145,0.0173,0.0189,1.191,,,,,,,
TEST,False,BURSTREL,macros,M_1050,129118,0.0145,0.0212,0.022,1.464,,,,,,,
TEST,False,BURSTREL,macros,M_1310,129118,0.0217,0.0227,0.0222,1.046,,,,,,,
TEST,False,BURSTREL,macros,M_1515,129118,0.0217,0.0159,0.0154,0.732,,,,,,,
TEST,False,BURSTREL,macros,UNION,129118,0.0725,0.0771,0.0785,1.064,1.001,0.136,0.46,0.332,True,1.024,1.1
TEST,False,BURSTREL,silver_bullet,SB_03,129118,0.0435,0.0488,0.0473,1.122,,,,,,,
TEST,False,BURSTREL,silver_bullet,SB_10,129118,0.0435,0.0583,0.0622,1.342,,,,,,,
TEST,False,BURSTREL,silver_bullet,SB_14,129118,0.0435,0.0319,0.0315,0.734,,,,,,,
TEST,False,BURSTREL,silver_bullet,UNION,129118,0.1304,0.139,0.141,1.066,0.997,0.143,0.48,0.316,True,1.037,1.09
TEST,False,BURSTREL,calib_0800_1159,CAL_08_12,129118,0.1739,0.2356,0.245,1.355,,,,,,,
TEST,False,BURSTREL,reopen_15,REOPEN15,129118,0.0109,0.0035,0.0036,0.321,,,,,,,
TEST,False,BURSTREL,reopen_30,REOPEN30,129118,0.0217,0.0112,0.0112,0.517,,,,,,,
TEST,True,H,killzones,KZ_Asia,183,0.1739,0.2131,0.2131,1.225,,,,,,,
TEST,True,H,killzones,KZ_London,183,0.1304,0.0492,0.0492,0.377,,,,,,,
TEST,True,H,killzones,KZ_NYAM,183,0.1304,0.1421,0.1421,1.089,,,,,,,
TEST,True,H,killzones,KZ_LondonClose,183,0.087,0.2022,0.2022,2.325,,,,,,,
TEST,True,H,killzones,UNION,183,0.5217,0.6066,0.6066,1.163,,,,,,,
TEST,True,H,macros,M_0950,183,0.0145,0.0656,0.0656,4.525,,,,,,,
TEST,True,H,macros,M_1050,183,0.0145,0.0055,0.0055,0.377,,,,,,,
TEST,True,H,macros,M_1310,183,0.0217,0.0219,0.0219,1.005,,,,,,,
TEST,True,H,macros,M_1515,183,0.0217,0.0164,0.0164,0.754,,,,,,,
TEST,True,H,macros,UNION,183,0.0725,0.1093,0.1093,1.508,,,,,,,
TEST,True,H,silver_bullet,SB_03,183,0.0435,0.0273,0.0273,0.628,,,,,,,
TEST,True,H,silver_bullet,SB_10,183,0.0435,0.1093,0.1093,2.514,,,,,,,
TEST,True,H,silver_bullet,SB_14,183,0.0435,0.0437,0.0437,1.005,,,,,,,
TEST,True,H,silver_bullet,UNION,183,0.1304,0.1803,0.1803,1.383,,,,,,,
TEST,True,H,calib_0800_1159,CAL_08_12,183,0.1739,0.3224,0.3224,1.854,,,,,,,
TEST,True,H,reopen_15,REOPEN15,183,0.0109,0.0,0.0,0.0,,,,,,,
TEST,True,H,reopen_30,REOPEN30,183,0.0217,0.0,0.0,0.0,,,,,,,
TEST,True,L,killzones,KZ_Asia,177,0.1739,0.209,0.209,1.202,,,,,,,
TEST,True,L,killzones,KZ_London,177,0.1304,0.0565,0.0565,0.433,,,,,,,
TEST,True,L,killzones,KZ_NYAM,177,0.1304,0.1356,0.1356,1.04,,,,,,,
TEST,True,L,killzones,KZ_LondonClose,177,0.087,0.1751,0.1751,2.014,,,,,,,
TEST,True,L,killzones,UNION,177,0.5217,0.5763,0.5763,1.105,,,,,,,
TEST,True,L,macros,M_0950,177,0.0145,0.0339,0.0339,2.339,,,,,,,
TEST,True,L,macros,M_1050,177,0.0145,0.0169,0.0169,1.169,,,,,,,
TEST,True,L,macros,M_1310,177,0.0217,0.0056,0.0056,0.26,,,,,,,
TEST,True,L,macros,M_1515,177,0.0217,0.0452,0.0452,2.079,,,,,,,
TEST,True,L,macros,UNION,177,0.0725,0.1017,0.1017,1.403,,,,,,,
TEST,True,L,silver_bullet,SB_03,177,0.0435,0.0226,0.0226,0.52,,,,,,,
TEST,True,L,silver_bullet,SB_10,177,0.0435,0.1186,0.1186,2.729,,,,,,,
TEST,True,L,silver_bullet,SB_14,177,0.0435,0.0339,0.0339,0.78,,,,,,,
TEST,True,L,silver_bullet,UNION,177,0.1304,0.1751,0.1751,1.343,,,,,,,
TEST,True,L,calib_0800_1159,CAL_08_12,177,0.1739,0.2994,0.2994,1.722,,,,,,,
TEST,True,L,reopen_15,REOPEN15,177,0.0109,0.0,0.0,0.0,,,,,,,
TEST,True,L,reopen_30,REOPEN30,177,0.0217,0.0,0.0,0.0,,,,,,,
TEST,True,HL,killzones,KZ_Asia,360,0.1739,0.2111,0.194,1.214,,,,,,,
TEST,True,HL,killzones,KZ_London,360,0.1304,0.0528,0.0498,0.405,,,,,,,
TEST,True,HL,killzones,KZ_NYAM,360,0.1304,0.1389,0.1468,1.065,,,,,,,
TEST,True,HL,killzones,KZ_LondonClose,360,0.087,0.1889,0.2015,2.172,,,,,,,
TEST,True,HL,killzones,UNION,360,0.5217,0.5917,0.592,1.134,,,,,,,
TEST,True,HL,macros,M_0950,360,0.0145,0.05,0.0498,3.45,,,,,,,
TEST,True,HL,macros,M_1050,360,0.0145,0.0111,0.0124,0.767,,,,,,,
TEST,True,HL,macros,M_1310,360,0.0217,0.0139,0.0124,0.639,,,,,,,
TEST,True,HL,macros,M_1515,360,0.0217,0.0306,0.0348,1.406,,,,,,,
TEST,True,HL,macros,UNION,360,0.0725,0.1056,0.1095,1.457,,,,,,,
TEST,True,HL,silver_bullet,SB_03,360,0.0435,0.025,0.0249,0.575,,,,,,,
TEST,True,HL,silver_bullet,SB_10,360,0.0435,0.1139,0.1244,2.619,,,,,,,
TEST,True,HL,silver_bullet,SB_14,360,0.0435,0.0389,0.0398,0.894,,,,,,,
TEST,True,HL,silver_bullet,UNION,360,0.1304,0.1778,0.1891,1.363,,,,,,,
TEST,True,HL,calib_0800_1159,CAL_08_12,360,0.1739,0.3111,0.3308,1.789,,,,,,,
TEST,True,HL,reopen_15,REOPEN15,360,0.0109,0.0,0.0,0.0,,,,,,,
TEST,True,HL,reopen_30,REOPEN30,360,0.0217,0.0,0.0,0.0,,,,,,,
