feature,direction,n,auc,strat_auc,perm_p,null_mean,null_p95,train_median,lift_good_half,diff_pp,spearman_vs_gap_atr
gap_size,1,9657,0.5075011150700791,0.5183552129587053,0.003,0.49958331529929406,0.5108666731986619,1.125,1.0155823352871374,0.7823630842083568,0.6269558991617742
pullback_frac,-1,9657,0.5058207803257551,0.5082364497123887,0.104,0.49976003040271494,0.5112456346385303,0.4166666666666667,1.0176644931831653,1.0194307608100694,-0.2535135426011764
gap_atr,1,9657,0.4896053997447506,0.4998853117000813,0.507,0.500197421398583,0.5108017859025571,0.4692698301523912,0.9750027711208819,-1.2477904225077607,0.9999999999999999
burst30,1,9657,0.5011524299366686,0.49929759720860656,0.535,0.4999545638110439,0.5118953103781693,0.42389937106917835,1.016492250743047,0.8232461534950997,-0.15483103678028598
er2,1,9657,0.4926089891539037,0.49783572424508793,0.622,0.5000247510207685,0.5120765488076788,0.24970344009493312,0.9816410878604283,-0.9164245703473045,0.4354379483171725
vol_hhi,1,9657,0.49523760583145865,0.49749035002312925,0.632,0.4998124349002158,0.5104020140868236,0.02177194232646979,1.004875196448841,0.24335591221430197,0.13404186557698772
peak_vel3,1,9657,0.4925837104150122,0.4961973166511005,0.714,0.5001833977829498,0.5113659129640541,0.3398708734315963,0.9940879317470779,-0.2951135975464453,0.3507101543532171
peak_vel,1,9657,0.49242897475962294,0.4951090498850498,0.754,0.49999929519198977,0.5105417451771148,0.2809307604994959,0.980811298267985,-0.9578453018673577,0.36957305559302606
burst30_3,1,9657,0.4887650462890067,0.488125141127472,0.968,0.5001651844282657,0.5105854854585005,0.27134724857681997,0.9542580313097992,-2.2833087105091883,-0.14669087599845235
