q_keep,thr,TRAIN_n,TRAIN_pf,TRAIN_net
0.33,0.3898305084745763,3248,0.16350916089710682,-4372.770499999637
0.5,0.4166666666666667,5373,0.15700806418050922,-7231.650999999392
0.67,0.43333333333333335,6501,0.15056868795340048,-8806.146999999226
