Rb,n,TP%,SL_on_fill_bar%,net@0.45,PF@0.45
<0.6,3939.0,2.0817466362020816,81.4927646610815,-3687.579999999318,0.01368639251086163
0.6-0.8,3467.0,5.912892991058552,60.744159215460044,-3532.106999999501,0.053483020691152926
0.8-1,2387.0,9.551738583996649,43.15039798910767,-2588.5649999996795,0.10630199225606532
1-1.5,3420.0,14.181286549707602,24.269005847953213,-3924.319499999649,0.1975002860359406
1.5-2.5,2591.0,20.571208027788497,11.192589733693554,-3012.502499999825,0.37539853946009916
2.5+,1653.0,26.436781609195403,4.9606775559588625,-1777.5484999999453,0.6871930473050603
