arm,parent,cost,n_real,real_TEST_pf,real_TEST_net,ctrl_pf_med,ctrl_pf_p95,ctrl_net_med,ctrl_net_p95,pct_rank_pf,pct_rank_net
A4,A0,0.45,1692,0.3957032729848537,-2081.6299999998155,0.36020443552014214,0.40235231355598067,-2489.5137499997236,-2285.9611249997492,0.895,1.0
A4,A0,0.8,1692,0.32268062259588903,-2673.829999999816,0.28378692708197945,0.3183794900563342,-3280.5587499997578,-3076.583624999745,0.955,1.0
A5,A1,0.45,593,0.4553690782662621,-686.5099999999302,0.3740406020103248,0.4492956021970034,-888.1174999999166,-749.9909999999182,0.96,0.995
A5,A1,0.8,593,0.37718085273127405,-894.0599999999304,0.29632006595409743,0.356732919525654,-1162.8274999999185,-1019.2984999999182,0.98,1.0
A6,A3,0.45,297,0.6005125301707547,-335.1599999999711,0.5746621409717323,0.708638089100927,-417.15124999997585,-269.99137499999983,0.59,0.785
A6,A3,0.8,297,0.5224339976617148,-439.10999999997114,0.4924290273773787,0.6093061639779364,-549.3124999999698,-400.121375,0.615,0.88
