gq,0,1,2,3,4
0,0.519672131147541,0.5512295081967213,0.508298755186722,0.5416666666666666,0.5470588235294118
1,0.47704590818363274,0.4636363636363636,0.5292929292929293,0.5611940298507463,0.4609053497942387
2,0.5052631578947369,0.49435665914221216,0.4959839357429719,0.4681372549019608,0.4666666666666667
3,0.47352941176470587,0.4666666666666667,0.4816955684007707,0.5191387559808612,0.5036855036855037
4,0.4534412955465587,0.4676258992805755,0.5131578947368421,0.4766146993318486,0.5273972602739726
