feature,direction,n,auc,strat_auc,perm_p,null_mean,null_p95,train_median,lift_good_half,diff_pp,spearman_vs_gap_atr
gap_size,1,10070,0.5053225272214829,0.5169734323128308,0.002,0.5002244582830001,0.5091880365704634,1.1449999999999818,0.9970309951662605,-0.29820241891994614,0.6330219605795857
pullback_frac,-1,10070,0.5073561185977363,0.5102912609270678,0.04,0.5000169982034754,0.5094328275483898,0.4166666666666667,1.0108795683122387,1.264640016732882,-0.2521506330096674
gap_atr,1,10070,0.4872048903072039,0.49798774370800103,0.633,0.5000600879057212,0.5097845822791377,0.47526136494303595,0.9795594363961104,-2.045680238331671,1.0
er2,1,10070,0.49192048395009486,0.49730891686424217,0.674,0.49994349020370654,0.5096715178905962,0.2504442032731561,0.9874975193490773,-1.2512413108242304,0.4368880101299004
vol_hhi,1,10070,0.4937172621629209,0.49704755263215655,0.713,0.5001719521474969,0.509045707099885,0.021762997130139943,0.9982139313355824,-0.1787487586891734,0.12908163647350723
burst30,1,10070,0.49756167447477556,0.4950523574361452,0.794,0.49975982760145243,0.5090464601220163,0.42394854049260355,1.0093272474697361,0.9334657398212487,-0.15271091253691674
peak_vel3,1,10070,0.4846668062260857,0.4882882559991133,0.972,0.5000440038568508,0.5108091626192179,0.34038923994027537,0.9823377654296488,-1.7676266137040653,0.3529736633302687
peak_vel,1,10070,0.483663007945696,0.48647515434639726,0.991,0.4997123528788835,0.509009820375866,0.28158974249515295,0.9751934907719786,-2.4826216484607757,0.3741252894604911
burst30_3,1,10070,0.48072569241175045,0.47871285820329745,1.0,0.4999774484353308,0.5095022040297137,0.2710332021963683,0.9644770787854734,-3.5551142005958325,-0.14602412457792674
