subset,gate,model,cost,split,n_total,n_aligned,n_against,admitted_frac,base_n,base_pf,base_pts,base_meanR,base_wr,al_n,al_pf,al_pts,al_meanR,al_wr,ag_n,ag_pf,ag_pts,ag_meanR,ag_wr,dR,p_flip,dR_lo,dR_hi,pf_lo,pf_hi,pts_lo,pts_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
survivors,B6,mid,1.0,TRAIN,4780,1723,2691,0.36,4780,1.128,1262.9,0.0279,52.2,1723,1.127,473.3,0.0179,53.2,2691,1.14,748.1,0.0439,51.9,-0.026,0.6065,-0.0909,0.0952,1.034,1.245,159.4,1080.9,0.0309,0.637,-0.1012,0.147
survivors,C2,mid,1.0,TRAIN,4780,2465,2244,0.516,4780,1.128,1262.9,0.0279,52.2,2465,1.151,744.2,0.0519,53.5,2244,1.104,503.8,0.0025,50.7,0.0494,0.2935,-0.0894,0.0941,1.031,1.231,153.3,1106.2,,,,
survivors,B1,mid,1.0,TEST,2843,1322,1223,0.465,2843,1.316,2967.4,0.1878,52.8,1322,1.235,1054.9,0.2109,53.9,1223,1.349,1363.9,0.1654,52.0,0.0454,0.5195,-0.1396,0.1346,1.128,1.466,539.4,1894.2,0.0181,0.833,0.0752,0.472
survivors,B2,mid,1.0,TEST,2843,987,1856,0.347,2843,1.316,2967.4,0.1878,52.8,987,1.245,700.2,0.2183,53.3,1856,1.347,2267.3,0.1716,52.6,0.0467,0.473,-0.1286,0.136,1.167,1.475,801.4,2156.0,-0.0126,0.899,0.1124,0.223
survivors,B3,mid,1.0,TEST,2843,2178,665,0.766,2843,1.316,2967.4,0.1878,52.8,2178,1.307,2383.5,0.1636,52.1,665,1.359,583.9,0.2672,55.3,-0.1037,0.1485,-0.1381,0.1352,1.158,1.504,754.4,2254.0,-0.0663,0.466,-0.1442,0.169
survivors,B4,mid,1.0,TEST,2843,1286,1345,0.452,2843,1.316,2967.4,0.1878,52.8,1286,1.248,1046.5,0.1845,53.3,1345,1.342,1552.4,0.1781,52.6,0.0064,0.909,-0.1282,0.1373,1.138,1.458,608.2,1987.0,0.1112,0.182,-0.0866,0.398
survivors,B5,mid,1.0,TEST,2843,1449,1394,0.51,2843,1.316,2967.4,0.1878,52.8,1449,1.28,1347.1,0.1777,52.7,1394,1.354,1620.4,0.1984,53.0,-0.0207,0.759,-0.134,0.1304,1.165,1.479,782.3,2179.9,-0.086,0.312,-0.0418,0.66
survivors,B6,mid,1.0,TEST,2843,1028,1626,0.362,2843,1.316,2967.4,0.1878,52.8,1028,1.215,797.2,0.1825,52.8,1626,1.376,1837.9,0.2027,53.3,-0.0202,0.771,-0.1309,0.1392,1.149,1.479,634.5,1986.9,-0.0491,0.601,0.0111,0.919
survivors,C2,mid,1.0,TEST,2843,1487,1356,0.523,2843,1.316,2967.4,0.1878,52.8,1487,1.252,1255.4,0.1967,53.0,1356,1.389,1712.0,0.178,52.7,0.0187,0.7665,-0.1267,0.1367,1.169,1.481,783.9,2188.0,,,,
survivors,B1,q,0.45,ALL,7609,3591,3210,0.472,7609,1.338,6140.7,0.1812,49.1,3591,1.303,2659.3,0.199,50.1,3210,1.332,2495.2,0.1605,48.1,0.0385,0.354,-0.0784,0.0844,1.217,1.427,1748.5,3411.1,0.0754,0.197,-0.0235,0.729
survivors,B2,q,0.45,ALL,7609,2646,4963,0.348,7609,1.338,6140.7,0.1812,49.1,2646,1.276,1620.9,0.1952,48.8,4963,1.367,4519.8,0.1737,49.2,0.0215,0.586,-0.0765,0.0752,1.241,1.441,2223.6,3966.2,-0.0557,0.299,0.1116,0.04
survivors,B3,q,0.45,ALL,7609,5816,1792,0.764,7609,1.338,6140.7,0.1812,49.1,5816,1.332,4849.3,0.1595,49.0,1792,1.359,1285.8,0.2506,49.3,-0.0911,0.0205,-0.0795,0.0751,1.23,1.456,2138.5,4035.4,-0.0329,0.559,-0.157,0.005
survivors,B4,q,0.45,ALL,7609,3528,3420,0.464,7609,1.338,6140.7,0.1812,49.1,3528,1.365,2983.0,0.2462,51.8,3420,1.327,2781.2,0.1334,47.1,0.1128,0.0035,-0.0765,0.0814,1.236,1.467,2000.8,3841.0,0.2087,0.0,0.0029,0.967
survivors,B5,q,0.45,ALL,7609,3882,3727,0.51,7609,1.338,6140.7,0.1812,49.1,3882,1.315,2895.9,0.1874,49.6,3727,1.361,3244.9,0.1747,48.5,0.0127,0.759,-0.0774,0.077,1.235,1.439,2146.5,3980.7,0.0313,0.568,-0.1229,0.035
survivors,B6,q,0.45,ALL,7609,2751,4303,0.362,7609,1.338,6140.7,0.1812,49.1,2751,1.296,2077.6,0.1863,50.3,4303,1.355,3437.4,0.1867,48.6,-0.0004,0.993,-0.0811,0.0785,1.223,1.438,1899.6,3623.9,0.031,0.597,-0.0634,0.269
survivors,C2,q,0.45,ALL,7609,3944,3594,0.518,7609,1.338,6140.7,0.1812,49.1,3944,1.332,3092.6,0.2066,50.2,3594,1.347,3027.9,0.1558,47.9,0.0508,0.2055,-0.0775,0.0815,1.238,1.447,2156.5,4019.4,,,,
survivors,B1,q,0.45,TRAIN,4780,2269,2001,0.475,4780,1.275,2532.5,0.1344,48.6,2269,1.283,1265.7,0.1426,49.4,2001,1.256,969.9,0.1253,47.8,0.0173,0.7075,-0.0941,0.1,1.149,1.391,615.5,1587.5,0.0861,0.222,-0.0756,0.296
survivors,B2,q,0.45,TRAIN,4780,1659,3121,0.347,4780,1.275,2532.5,0.1344,48.6,1659,1.269,839.6,0.1549,48.3,3121,1.278,1692.9,0.1236,48.7,0.0313,0.506,-0.0949,0.0916,1.163,1.398,763.0,1777.5,-0.067,0.305,0.1336,0.045
survivors,B3,q,0.45,TRAIN,4780,3652,1127,0.764,4780,1.275,2532.5,0.1344,48.6,3652,1.267,1925.3,0.1164,48.8,1127,1.3,601.6,0.1915,48.0,-0.0751,0.113,-0.092,0.0908,1.16,1.396,767.4,1769.6,0.0114,0.854,-0.1695,0.015
survivors,B4,q,0.45,TRAIN,4780,2250,2081,0.471,4780,1.275,2532.5,0.1344,48.6,2250,1.387,1616.4,0.2249,52.4,2081,1.221,923.6,0.0743,45.8,0.1505,0.0035,-0.0951,0.0917,1.186,1.428,794.2,1755.1,0.224,0.001,0.0651,0.36
survivors,B5,q,0.45,TRAIN,4780,2441,2339,0.511,4780,1.275,2532.5,0.1344,48.6,2441,1.263,1214.7,0.1486,49.4,2339,1.286,1317.8,0.1196,47.7,0.029,0.523,-0.0867,0.0869,1.169,1.387,783.7,1750.4,0.1004,0.11,-0.1369,0.042
survivors,B6,q,0.45,TRAIN,4780,1723,2691,0.36,4780,1.275,2532.5,0.1344,48.6,1723,1.284,985.4,0.1402,50.3,2691,1.276,1380.3,0.1397,47.9,0.0005,0.989,-0.0909,0.0943,1.165,1.4,720.9,1640.2,0.0668,0.341,-0.0943,0.174
survivors,C2,q,0.45,TRAIN,4780,2465,2244,0.516,4780,1.275,2532.5,0.1344,48.6,2465,1.314,1437.0,0.1593,50.0,2244,1.239,1075.1,0.1095,47.1,0.0498,0.2765,-0.0928,0.0874,1.162,1.391,745.9,1758.0,,,,
survivors,B1,q,0.45,TEST,2829,1322,1209,0.467,2829,1.402,3608.3,0.2602,49.8,1322,1.323,1393.6,0.2958,51.2,1209,1.409,1525.3,0.2186,48.5,0.0771,0.297,-0.1464,0.1487,1.184,1.548,742.4,2189.8,0.0441,0.674,0.0931,0.367
survivors,B2,q,0.45,TEST,2829,987,1842,0.349,2829,1.402,3608.3,0.2602,49.8,987,1.284,781.3,0.2631,49.4,1842,1.454,2827.0,0.2586,50.1,0.0045,0.9505,-0.129,0.1402,1.237,1.594,1080.0,2555.0,-0.029,0.756,0.0691,0.486
survivors,B3,q,0.45,TEST,2829,2164,665,0.765,2829,1.402,3608.3,0.2602,49.8,2164,1.395,2924.0,0.2324,49.4,665,1.435,684.2,0.3508,51.4,-0.1184,0.1005,-0.1391,0.146,1.215,1.612,1007.5,2612.1,-0.0959,0.368,-0.1437,0.175
survivors,B4,q,0.45,TEST,2829,1278,1339,0.452,2829,1.402,3608.3,0.2602,49.8,1278,1.341,1366.7,0.2836,50.9,1339,1.428,1857.6,0.2252,49.1,0.0584,0.432,-0.1448,0.1501,1.207,1.588,868.8,2383.6,0.2054,0.038,-0.1036,0.301
survivors,B5,q,0.45,TEST,2829,1441,1388,0.509,2829,1.402,3608.3,0.2602,49.8,1441,1.367,1681.2,0.2531,49.9,1388,1.439,1927.1,0.2676,49.8,-0.0145,0.8275,-0.1336,0.1329,1.23,1.581,1011.1,2556.8,-0.123,0.192,-0.0708,0.479
survivors,B6,q,0.45,TEST,2829,1028,1612,0.363,2829,1.402,3608.3,0.2602,49.8,1028,1.307,1092.1,0.2636,50.4,1612,1.439,2057.1,0.265,49.7,-0.0014,0.9845,-0.1359,0.1384,1.216,1.567,889.8,2255.8,-0.0382,0.717,0.0148,0.887
survivors,C2,q,0.45,TEST,2829,1479,1350,0.523,2829,1.402,3608.3,0.2602,49.8,1479,1.349,1655.6,0.2853,50.4,1350,1.462,1952.7,0.2327,49.2,0.0525,0.438,-0.143,0.1456,1.232,1.576,1047.7,2561.4,,,,
survivors,B1,q,0.7,ALL,7609,3591,3210,0.472,7609,1.221,4238.5,0.0945,49.0,3591,1.191,1761.5,0.1134,50.0,3210,1.213,1692.7,0.0724,48.0,0.041,0.3275,-0.0813,0.0835,1.103,1.298,908.7,2534.2,0.0791,0.18,-0.022,0.736
survivors,B2,q,0.7,ALL,7609,2646,4963,0.348,7609,1.221,4238.5,0.0945,49.0,2646,1.155,959.4,0.1027,48.7,4963,1.253,3279.1,0.0901,49.2,0.0126,0.752,-0.0773,0.0803,1.128,1.321,1249.3,3016.8,-0.0658,0.246,0.1016,0.061
survivors,B3,q,0.7,ALL,7609,5816,1792,0.764,7609,1.221,4238.5,0.0945,49.0,5816,1.221,3395.3,0.0757,49.0,1792,1.22,837.8,0.1546,49.2,-0.0789,0.0495,-0.0769,0.079,1.123,1.328,1185.9,3052.5,-0.0209,0.719,-0.1446,0.01
survivors,B4,q,0.7,ALL,7609,3528,3420,0.464,7609,1.221,4238.5,0.0945,49.0,3528,1.244,2101.0,0.1597,51.8,3420,1.215,1926.2,0.0472,47.0,0.1125,0.004,-0.0792,0.0788,1.131,1.328,1156.1,2865.3,0.2081,0.0,0.002,0.965
survivors,B5,q,0.7,ALL,7609,3882,3727,0.51,7609,1.221,4238.5,0.0945,49.0,3882,1.199,1925.4,0.1008,49.5,3727,1.244,2313.1,0.0879,48.5,0.0129,0.75,-0.0793,0.0771,1.127,1.313,1196.2,2997.8,0.0343,0.531,-0.1269,0.027
survivors,B6,q,0.7,ALL,7609,2751,4303,0.362,7609,1.221,4238.5,0.0945,49.0,2751,1.189,1389.8,0.1031,50.3,4303,1.231,2361.6,0.0971,48.5,0.0061,0.873,-0.0798,0.0812,1.116,1.314,1022.4,2698.9,0.0396,0.496,-0.059,0.344
survivors,C2,q,0.7,ALL,7609,3944,3594,0.518,7609,1.221,4238.5,0.0945,49.0,3944,1.215,2106.6,0.1204,50.1,3594,1.231,2129.4,0.0688,47.9,0.0516,0.1945,-0.0787,0.0802,1.133,1.318,1260.2,3012.9,,,,
survivors,B1,q,0.7,TRAIN,4780,2269,2001,0.475,4780,1.136,1337.5,0.0387,48.5,2269,1.147,698.4,0.0482,49.4,2001,1.116,469.7,0.028,47.8,0.0202,0.702,-0.0972,0.0953,1.027,1.237,117.1,1029.5,0.0888,0.212,-0.0714,0.339
survivors,B2,q,0.7,TRAIN,4780,1659,3121,0.347,4780,1.136,1337.5,0.0387,48.5,1659,1.128,424.8,0.0547,48.3,3121,1.14,912.6,0.0302,48.7,0.0246,0.5825,-0.0928,0.0917,1.039,1.239,196.0,1158.0,-0.0745,0.239,0.1255,0.077
survivors,B3,q,0.7,TRAIN,4780,3652,1127,0.764,4780,1.136,1337.5,0.0387,48.5,3652,1.132,1012.3,0.0227,48.7,1127,1.149,319.8,0.0888,47.9,-0.0661,0.158,-0.0912,0.0902,1.036,1.238,177.3,1135.4,0.0201,0.748,-0.1601,0.027
survivors,B4,q,0.7,TRAIN,4780,2250,2081,0.471,4780,1.136,1337.5,0.0387,48.5,2250,1.237,1053.9,0.13,52.3,2081,1.091,403.3,-0.0212,45.7,0.1512,0.002,-0.0967,0.0947,1.057,1.271,248.2,1176.9,0.2248,0.0,0.0655,0.395
survivors,B5,q,0.7,TRAIN,4780,2441,2339,0.511,4780,1.136,1337.5,0.0387,48.5,2441,1.123,604.4,0.0525,49.3,2339,1.149,733.0,0.0243,47.7,0.0281,0.5235,-0.0894,0.0864,1.038,1.235,189.6,1133.6,0.1051,0.119,-0.1442,0.042
survivors,B6,q,0.7,TRAIN,4780,1723,2691,0.36,4780,1.136,1337.5,0.0387,48.5,1723,1.151,554.7,0.0479,50.3,2691,1.132,707.5,0.0413,47.8,0.0066,0.888,-0.0911,0.0922,1.038,1.249,165.5,1088.6,0.0736,0.325,-0.0874,0.21
survivors,C2,q,0.7,TRAIN,4780,2465,2244,0.516,4780,1.136,1337.5,0.0387,48.5,2465,1.168,820.8,0.0636,49.9,2244,1.107,514.1,0.014,47.1,0.0496,0.293,-0.0931,0.0913,1.037,1.245,183.2,1168.8,,,,
survivors,B1,q,0.7,TEST,2829,1322,1209,0.467,2829,1.311,2901.0,0.1887,49.8,1322,1.238,1063.1,0.2254,51.2,1209,1.315,1223.0,0.1459,48.5,0.0796,0.295,-0.1517,0.1408,1.105,1.443,443.1,1810.7,0.0465,0.66,0.0937,0.368
survivors,B2,q,0.7,TEST,2829,987,1842,0.349,2829,1.311,2901.0,0.1887,49.8,987,1.186,534.6,0.1834,49.4,1842,1.367,2366.5,0.1916,50.1,-0.0083,0.907,-0.1396,0.1347,1.153,1.491,733.4,2205.6,-0.0424,0.67,0.0548,0.563
survivors,B3,q,0.7,TEST,2829,2164,665,0.765,2829,1.311,2901.0,0.1887,49.8,2164,1.311,2383.0,0.165,49.4,665,1.313,518.0,0.266,51.4,-0.101,0.182,-0.1444,0.1509,1.135,1.509,654.1,2263.1,-0.0774,0.445,-0.1274,0.214
survivors,B4,q,0.7,TEST,2829,1278,1339,0.452,2829,1.311,2901.0,0.1887,49.8,1278,1.251,1047.2,0.2119,50.9,1339,1.338,1522.8,0.1536,49.1,0.0584,0.4315,-0.1473,0.1399,1.121,1.472,528.3,1996.7,0.2079,0.04,-0.1076,0.3
survivors,B5,q,0.7,TEST,2829,1441,1388,0.509,2829,1.311,2901.0,0.1887,49.8,1441,1.277,1320.9,0.1827,49.9,1388,1.346,1580.1,0.195,49.8,-0.0122,0.88,-0.1462,0.1392,1.143,1.479,681.2,2231.9,-0.1274,0.2,-0.0634,0.519
survivors,B6,q,0.7,TEST,2829,1028,1612,0.363,2829,1.311,2901.0,0.1887,49.8,1028,1.227,835.1,0.1958,50.4,1612,1.339,1654.1,0.1903,49.7,0.0055,0.9335,-0.1436,0.1412,1.126,1.466,539.3,1930.7,-0.0293,0.764,0.018,0.867
survivors,C2,q,0.7,TEST,2829,1479,1350,0.523,2829,1.311,2901.0,0.1887,49.8,1479,1.261,1285.8,0.215,50.4,1350,1.367,1615.2,0.16,49.2,0.0551,0.4315,-0.1397,0.1299,1.156,1.482,716.3,2195.7,,,,
non_survivors,B1,mid,0.75,ALL,37914,17199,16937,0.454,37914,0.824,-15282.3,-0.1995,39.2,17199,0.845,-6316.5,-0.1838,40.0,16937,0.79,-7856.5,-0.2151,38.5,0.0313,0.1225,-0.0391,0.041,0.778,0.861,-8740.8,-5384.4,0.0478,0.064,-0.0006,0.977
non_survivors,B2,mid,0.75,ALL,37914,17304,20609,0.456,37914,0.824,-15282.3,-0.1995,39.2,17304,0.755,-9045.8,-0.2117,37.8,20609,0.875,-6234.2,-0.1892,40.4,-0.0225,0.287,-0.0409,0.0402,0.781,0.864,-9564.9,-5837.8,0.0034,0.89,-0.0255,0.378
non_survivors,B3,mid,0.75,ALL,37914,21659,16252,0.571,37914,0.824,-15282.3,-0.1995,39.2,21659,0.871,-6629.3,-0.1914,40.0,16252,0.753,-8642.3,-0.2103,38.1,0.0189,0.3345,-0.0376,0.0384,0.782,0.869,-9592.0,-5635.6,0.0455,0.082,-0.0165,0.5
non_survivors,B4,mid,0.75,ALL,37914,17658,17178,0.466,37914,0.824,-15282.3,-0.1995,39.2,17658,0.846,-6261.2,-0.1806,40.5,17178,0.811,-7456.0,-0.2125,38.4,0.0319,0.133,-0.0422,0.0402,0.784,0.875,-8702.2,-5004.2,0.0326,0.221,0.0152,0.584
non_survivors,B5,mid,0.75,ALL,37914,19687,18227,0.519,37914,0.824,-15282.3,-0.1995,39.2,19687,0.841,-7150.2,-0.199,39.6,18227,0.805,-8132.1,-0.2,38.7,0.001,0.965,-0.0415,0.0396,0.78,0.868,-9627.4,-5684.6,-0.0539,0.037,-0.0204,0.459
non_survivors,B6,mid,0.75,ALL,37914,9672,26082,0.255,37914,0.824,-15282.3,-0.1995,39.2,9672,0.893,-2628.6,-0.1651,41.4,26082,0.786,-12139.3,-0.2092,38.4,0.0441,0.0135,-0.0351,0.035,0.78,0.858,-9066.5,-5676.2,0.0626,0.018,-0.006,0.831
non_survivors,C2,mid,0.75,ALL,37914,19661,18061,0.519,37914,0.824,-15282.3,-0.1995,39.2,19661,0.852,-6763.1,-0.1842,40.2,18061,0.791,-8494.4,-0.217,38.0,0.0329,0.104,-0.0384,0.0378,0.777,0.866,-9668.0,-5751.8,,,,
non_survivors,B1,mid,0.75,TRAIN,18914,8582,8354,0.454,18914,0.777,-7968.3,-0.2179,39.8,8582,0.829,-2851.5,-0.1902,41.2,8354,0.745,-3885.6,-0.2309,38.7,0.0406,0.18,-0.0582,0.0595,0.735,0.843,-4298.8,-2477.1,0.0488,0.174,0.0279,0.48
non_survivors,B2,mid,0.75,TRAIN,18914,8407,10507,0.444,18914,0.777,-7968.3,-0.2179,39.8,8407,0.715,-4238.9,-0.2343,38.1,10507,0.821,-3729.4,-0.2047,41.1,-0.0297,0.3045,-0.0593,0.0582,0.727,0.831,-4951.1,-2967.5,-0.0147,0.655,-0.0379,0.312
non_survivors,B3,mid,0.75,TRAIN,18914,10873,8039,0.575,18914,0.777,-7968.3,-0.2179,39.8,10873,0.809,-4116.2,-0.2145,40.4,8039,0.728,-3847.7,-0.2225,39.0,0.008,0.763,-0.0558,0.0564,0.728,0.83,-4934.8,-3012.7,0.0127,0.708,-0.0084,0.825
non_survivors,B4,mid,0.75,TRAIN,18914,8965,8391,0.474,18914,0.777,-7968.3,-0.2179,39.8,8965,0.843,-2633.5,-0.186,41.7,8391,0.728,-4418.9,-0.2414,38.2,0.0554,0.055,-0.0583,0.0545,0.733,0.84,-4439.2,-2610.5,0.0671,0.052,0.0609,0.116
non_survivors,B5,mid,0.75,TRAIN,18914,9859,9055,0.521,18914,0.777,-7968.3,-0.2179,39.8,9859,0.788,-3958.0,-0.2229,40.2,9055,0.765,-4010.3,-0.2123,39.2,-0.0106,0.688,-0.0561,0.0553,0.726,0.826,-4928.7,-3034.0,-0.0225,0.468,-0.0619,0.086
non_survivors,B6,mid,0.75,TRAIN,18914,4926,12846,0.26,18914,0.777,-7968.3,-0.2179,39.8,4926,0.883,-1206.1,-0.166,43.0,12846,0.748,-5790.3,-0.2248,38.9,0.0588,0.036,-0.056,0.0528,0.741,0.841,-4398.3,-2604.3,0.0574,0.113,0.0539,0.163
non_survivors,C2,mid,0.75,TRAIN,18914,9887,8835,0.523,18914,0.777,-7968.3,-0.2179,39.8,9887,0.803,-3731.6,-0.2098,40.8,8835,0.744,-4211.9,-0.229,38.5,0.0192,0.4925,-0.0553,0.0552,0.726,0.828,-4964.6,-3022.0,,,,
non_survivors,B1,mid,0.75,TEST,19000,8617,8583,0.454,19000,0.856,-7314.0,-0.1812,38.6,8617,0.857,-3465.0,-0.1775,38.7,8583,0.821,-3970.9,-0.1997,38.2,0.0223,0.4545,-0.0567,0.0582,0.779,0.901,-5170.7,-2256.4,0.044,0.282,-0.0275,0.501
non_survivors,B2,mid,0.75,TEST,19000,8897,10102,0.468,19000,0.856,-7314.0,-0.1812,38.6,8897,0.782,-4806.9,-0.1903,37.5,10102,0.913,-2504.8,-0.1731,39.6,-0.0172,0.549,-0.0576,0.0596,0.796,0.919,-5245.2,-2019.9,0.0233,0.528,-0.0156,0.685
non_survivors,B3,mid,0.75,TEST,19000,10786,8213,0.568,19000,0.856,-7314.0,-0.1812,38.6,10786,0.916,-2513.1,-0.1681,39.6,8213,0.771,-4794.6,-0.1983,37.3,0.0302,0.299,-0.0549,0.0549,0.797,0.917,-5209.1,-2081.5,0.0792,0.04,-0.0241,0.497
non_survivors,B4,mid,0.75,TEST,19000,8693,8787,0.458,19000,0.856,-7314.0,-0.1812,38.6,8693,0.849,-3627.7,-0.175,39.2,8787,0.869,-3037.1,-0.1849,38.5,0.01,0.7445,-0.0604,0.059,0.792,0.923,-4886.7,-1790.8,0.0065,0.881,-0.0273,0.491
non_survivors,B5,mid,0.75,TEST,19000,9828,9172,0.517,19000,0.856,-7314.0,-0.1812,38.6,9828,0.879,-3192.1,-0.175,39.0,9172,0.832,-4121.9,-0.1878,38.2,0.0128,0.668,-0.0555,0.0582,0.794,0.919,-5312.3,-2032.6,-0.0927,0.017,0.0221,0.576
non_survivors,B6,mid,0.75,TEST,19000,4746,13236,0.25,19000,0.856,-7314.0,-0.1812,38.6,4746,0.901,-1422.5,-0.1641,39.8,13236,0.812,-6349.1,-0.194,38.0,0.03,0.2355,-0.0493,0.0517,0.786,0.898,-5304.4,-2411.7,0.0668,0.073,-0.0731,0.069
non_survivors,C2,mid,0.75,TEST,19000,9774,9226,0.514,19000,0.856,-7314.0,-0.1812,38.6,9774,0.887,-3031.5,-0.1582,39.7,9226,0.823,-4282.5,-0.2056,37.5,0.0473,0.1035,-0.0592,0.0566,0.794,0.922,-5300.1,-1950.3,,,,
non_survivors,B1,mid,1.0,ALL,37914,17199,16937,0.454,37914,0.732,-24760.8,-0.2998,36.6,17199,0.756,-10616.2,-0.2828,37.3,16937,0.698,-12090.7,-0.3162,36.1,0.0334,0.118,-0.0421,0.0388,0.691,0.766,-13046.5,-9683.1,0.052,0.053,-0.0028,0.928
non_survivors,B2,mid,1.0,ALL,37914,17304,20609,0.456,37914,0.732,-24760.8,-0.2998,36.6,17304,0.663,-13371.8,-0.3153,35.2,20609,0.784,-11386.5,-0.2868,37.8,-0.0285,0.1755,-0.0406,0.0401,0.697,0.77,-14218.1,-10514.6,-0.002,0.934,-0.0317,0.259
non_survivors,B3,mid,1.0,ALL,37914,21659,16252,0.571,37914,0.732,-24760.8,-0.2998,36.6,21659,0.781,-12044.1,-0.2896,37.2,16252,0.662,-12705.3,-0.3135,35.8,0.0239,0.242,-0.0414,0.0397,0.693,0.771,-14324.0,-10460.2,0.0518,0.041,-0.0132,0.62
non_survivors,B4,mid,1.0,ALL,37914,17658,17178,0.466,37914,0.732,-24760.8,-0.2998,36.6,17658,0.754,-10675.7,-0.28,37.8,17178,0.721,-11750.5,-0.3131,36.0,0.0332,0.114,-0.04,0.0422,0.697,0.778,-13001.6,-9377.7,0.0326,0.221,0.0147,0.592
non_survivors,B5,mid,1.0,ALL,37914,19687,18227,0.519,37914,0.732,-24760.8,-0.2998,36.6,19687,0.749,-12071.9,-0.2983,36.9,18227,0.715,-12688.9,-0.3014,36.4,0.0031,0.889,-0.0415,0.0406,0.695,0.772,-14168.1,-10439.4,-0.0536,0.038,-0.0197,0.48
non_survivors,B6,mid,1.0,ALL,37914,9672,26082,0.255,37914,0.732,-24760.8,-0.2998,36.6,9672,0.807,-5046.6,-0.2612,38.4,26082,0.693,-18659.8,-0.3111,36.1,0.0498,0.01,-0.0384,0.0368,0.692,0.763,-13663.0,-10094.1,0.0705,0.006,-0.0057,0.864
non_survivors,C2,mid,1.0,ALL,37914,19661,18061,0.519,37914,0.732,-24760.8,-0.2998,36.6,19661,0.76,-11678.3,-0.283,37.5,18061,0.701,-13009.7,-0.3188,35.7,0.0358,0.0805,-0.0394,0.0398,0.694,0.772,-14282.6,-10431.9,,,,
non_survivors,B1,mid,1.0,TRAIN,18914,8582,8354,0.454,18914,0.671,-12696.8,-0.328,36.5,8582,0.722,-4997.0,-0.2987,37.7,8354,0.639,-5974.1,-0.3422,36.0,0.0435,0.1435,-0.0594,0.0595,0.634,0.732,-6385.1,-4560.5,0.0491,0.203,0.0313,0.45
non_survivors,B2,mid,1.0,TRAIN,18914,8407,10507,0.444,18914,0.671,-12696.8,-0.328,36.5,8407,0.609,-6340.7,-0.3484,34.9,10507,0.717,-6356.2,-0.3117,37.8,-0.0367,0.2055,-0.0554,0.0563,0.63,0.715,-7268.1,-5415.7,-0.0181,0.594,-0.0475,0.212
non_survivors,B3,mid,1.0,TRAIN,18914,10873,8039,0.575,18914,0.671,-12696.8,-0.328,36.5,10873,0.706,-6834.5,-0.3226,36.8,8039,0.62,-5857.5,-0.3356,36.1,0.013,0.633,-0.0557,0.0543,0.627,0.715,-7362.7,-5428.9,0.0168,0.65,-0.0027,0.935
non_survivors,B4,mid,1.0,TRAIN,18914,8965,8391,0.474,18914,0.671,-12696.8,-0.328,36.5,8965,0.731,-4874.8,-0.2947,38.3,8391,0.629,-6516.7,-0.3525,35.3,0.0578,0.046,-0.0551,0.0588,0.634,0.729,-6619.8,-4769.6,0.0705,0.056,0.0583,0.153
non_survivors,B5,mid,1.0,TRAIN,18914,9859,9055,0.521,18914,0.671,-12696.8,-0.328,36.5,9859,0.681,-6422.8,-0.332,36.7,9055,0.661,-6274.0,-0.3238,36.3,-0.0082,0.7845,-0.0562,0.0549,0.627,0.716,-7293.8,-5405.6,-0.0183,0.601,-0.0664,0.088
non_survivors,B6,mid,1.0,TRAIN,18914,4926,12846,0.26,18914,0.671,-12696.8,-0.328,36.5,4926,0.778,-2437.6,-0.271,38.9,12846,0.64,-9001.8,-0.337,36.0,0.066,0.014,-0.0537,0.0516,0.637,0.726,-6660.5,-4790.9,0.0632,0.073,0.062,0.104
non_survivors,C2,mid,1.0,TRAIN,18914,9887,8835,0.523,18914,0.671,-12696.8,-0.328,36.5,9887,0.697,-6203.3,-0.3181,37.2,8835,0.641,-6420.7,-0.3411,35.7,0.023,0.426,-0.0596,0.0553,0.624,0.715,-7272.7,-5379.1,,,,
non_survivors,B1,mid,1.0,TEST,19000,8617,8583,0.454,19000,0.776,-12064.0,-0.2717,36.7,8617,0.78,-5619.2,-0.267,37.0,8583,0.74,-6116.6,-0.2909,36.1,0.0239,0.4265,-0.0549,0.0559,0.706,0.816,-7291.8,-4463.2,0.0503,0.202,-0.0329,0.42
non_survivors,B2,mid,1.0,TEST,19000,8897,10102,0.468,19000,0.776,-12064.0,-0.2717,36.7,8897,0.7,-7031.1,-0.2839,35.6,10102,0.834,-5030.3,-0.2608,37.8,-0.0231,0.441,-0.06,0.0595,0.719,0.833,-7672.4,-4466.8,0.0164,0.685,-0.0205,0.602
non_survivors,B3,mid,1.0,TEST,19000,10786,8213,0.568,19000,0.776,-12064.0,-0.2717,36.7,10786,0.835,-5209.6,-0.2564,37.6,8213,0.692,-6847.8,-0.2918,35.6,0.0354,0.2185,-0.0539,0.0566,0.721,0.836,-7612.3,-4342.9,0.0879,0.02,-0.0227,0.556
non_survivors,B4,mid,1.0,TEST,19000,8693,8787,0.458,19000,0.776,-12064.0,-0.2717,36.7,8693,0.771,-5800.9,-0.2648,37.2,8787,0.787,-5233.9,-0.2756,36.6,0.0108,0.7045,-0.0556,0.0601,0.719,0.843,-6991.7,-3848.3,0.0056,0.887,-0.0272,0.51
