subset,gate,model,cost,split,n_aligned,n_against,dR_demeaned,p_flip,dR_lo,dR_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
non_survivors,B3,q,0.45,TRAIN,10873,8039,-0.019,0.4995,-0.0549,0.0549,-0.0029,0.932,-0.048,0.202
non_survivors,B4,q,0.45,TRAIN,8965,8391,0.0634,0.03,-0.0595,0.055,0.0759,0.015,0.0861,0.024
non_survivors,B5,q,0.45,TRAIN,9859,9055,0.004,0.8885,-0.0543,0.0513,0.0215,0.517,-0.0427,0.287
non_survivors,B6,q,0.45,TRAIN,4926,12846,0.0399,0.1335,-0.0511,0.0502,0.0324,0.364,0.0497,0.173
non_survivors,C2,q,0.45,TRAIN,9887,8835,0.0123,0.6425,-0.0557,0.0539,,,,
non_survivors,B1,q,0.45,TEST,8579,8525,0.0077,0.7815,-0.056,0.0549,0.0256,0.499,-0.0357,0.375
non_survivors,B2,q,0.45,TEST,8862,10039,0.0157,0.603,-0.0527,0.0549,0.0749,0.047,0.0027,0.952
non_survivors,B3,q,0.45,TEST,10722,8179,-0.007,0.8005,-0.0526,0.0509,0.036,0.336,-0.0546,0.136
non_survivors,B4,q,0.45,TEST,8641,8741,-0.0005,0.99,-0.0527,0.0549,0.0216,0.557,-0.0563,0.189
non_survivors,B5,q,0.45,TEST,9774,9128,0.0071,0.794,-0.0541,0.0535,-0.0999,0.004,0.035,0.373
non_survivors,B6,q,0.45,TEST,4742,13144,-0.0054,0.832,-0.0511,0.0507,0.0271,0.453,-0.1004,0.011
non_survivors,C2,q,0.45,TEST,9722,9180,0.0366,0.187,-0.0507,0.054,,,,
non_survivors,B1,q,0.7,ALL,17161,16879,0.0189,0.3625,-0.0397,0.0411,0.0296,0.242,-0.0035,0.913
non_survivors,B2,q,0.7,ALL,17269,20546,0.0046,0.81,-0.0389,0.0407,0.0418,0.109,-0.007,0.818
non_survivors,B3,q,0.7,ALL,21595,16218,-0.0132,0.492,-0.0386,0.0377,0.0174,0.499,-0.0528,0.04
non_survivors,B4,q,0.7,ALL,17606,17132,0.0298,0.137,-0.0398,0.0379,0.0416,0.122,0.0127,0.663
non_survivors,B5,q,0.7,ALL,19633,18183,0.0063,0.7385,-0.0387,0.0381,-0.033,0.162,-0.003,0.913
non_survivors,B6,q,0.7,ALL,9668,25990,0.0172,0.383,-0.0368,0.0355,0.0336,0.197,-0.0269,0.346
non_survivors,C2,q,0.7,ALL,19609,18015,0.0243,0.2265,-0.0382,0.0391,,,,
non_survivors,B1,q,0.7,TRAIN,8582,8354,0.0307,0.284,-0.0568,0.0564,0.0208,0.565,0.0419,0.307
non_survivors,B2,q,0.7,TRAIN,8407,10507,-0.0089,0.7585,-0.0558,0.0575,0.0151,0.652,-0.0246,0.514
non_survivors,B3,q,0.7,TRAIN,10873,8039,-0.0191,0.4985,-0.0568,0.0539,-0.005,0.906,-0.046,0.201
non_survivors,B4,q,0.7,TRAIN,8965,8391,0.0633,0.023,-0.0562,0.0532,0.0775,0.025,0.0832,0.047
non_survivors,B5,q,0.7,TRAIN,9859,9055,0.0045,0.887,-0.0522,0.0564,0.0262,0.421,-0.0468,0.223
non_survivors,B6,q,0.7,TRAIN,4926,12846,0.0406,0.1505,-0.0563,0.0522,0.0313,0.378,0.0531,0.169
non_survivors,C2,q,0.7,TRAIN,9887,8835,0.0126,0.6675,-0.0544,0.0558,,,,
non_survivors,B1,q,0.7,TEST,8579,8525,0.0079,0.7725,-0.0546,0.0554,0.031,0.417,-0.0414,0.34
non_survivors,B2,q,0.7,TEST,8862,10039,0.0142,0.6395,-0.0531,0.0575,0.0723,0.055,0.0018,0.963
non_survivors,B3,q,0.7,TEST,10722,8179,-0.0061,0.838,-0.0548,0.0544,0.0395,0.313,-0.0562,0.131
non_survivors,B4,q,0.7,TEST,8641,8741,-0.0011,0.9695,-0.053,0.0551,0.02,0.623,-0.0564,0.197
non_survivors,B5,q,0.7,TEST,9774,9128,0.0076,0.787,-0.0542,0.0541,-0.104,0.007,0.0405,0.299
non_survivors,B6,q,0.7,TEST,4742,13144,-0.0047,0.8585,-0.0473,0.0483,0.0318,0.413,-0.1082,0.007
non_survivors,C2,q,0.7,TEST,9722,9180,0.0369,0.186,-0.0537,0.0549,,,,
