module,gate,model,cost,split,c2_class,n,n_al,n_ag,in_n,in_pf,in_pts,in_meanR,in_wr,al_n,al_pf,al_pts,al_meanR,al_wr,ag_n,ag_pf,ag_pts,ag_meanR,ag_wr,dR,p_flip
s100_m3_combo,B5,mid,1.0,TEST,aligned,1324,1082,242,1324,0.952,-218.3,-0.1235,34.9,1082,0.938,-223.5,-0.1534,34.1,242,1.005,5.1,0.0104,38.4,-0.1638,0.046
s100_m3_combo,B5,mid,1.0,TEST,against,1108,180,928,1108,0.85,-613.1,-0.2235,31.8,180,0.705,-228.5,-0.2217,30.6,928,0.884,-384.6,-0.2239,32.0,0.0022,0.985
s100_m3_combo,B6,mid,1.0,TEST,aligned,1324,697,523,1324,0.952,-218.3,-0.1235,34.9,697,0.944,-144.8,-0.111,35.3,523,0.912,-147.7,-0.1759,33.3,0.0649,0.456
s100_m3_combo,B6,mid,1.0,TEST,against,1108,245,774,1108,0.85,-613.1,-0.2235,31.8,245,0.698,-264.9,-0.3321,29.8,774,0.859,-397.4,-0.1894,32.4,-0.1428,0.166
s100_m3_combo,B1,q,0.7,ALL,aligned,2472,1483,738,2472,0.844,-1114.9,-0.2078,31.2,1483,0.864,-603.3,-0.1854,31.6,738,0.794,-421.7,-0.2404,30.8,0.055,0.403
s100_m3_combo,B1,q,0.7,ALL,against,2091,621,1264,2091,0.788,-1355.2,-0.2447,29.8,621,0.72,-518.3,-0.2558,29.6,1264,0.81,-729.2,-0.2169,30.5,-0.0389,0.587
s100_m3_combo,B2,q,0.7,ALL,aligned,2472,376,2096,2472,0.844,-1114.9,-0.2078,31.2,376,0.771,-236.2,-0.248,30.3,2096,0.856,-878.8,-0.2006,31.4,-0.0474,0.447
s100_m3_combo,B2,q,0.7,ALL,against,2091,1134,957,2091,0.788,-1355.2,-0.2447,29.8,1134,0.803,-670.5,-0.2431,30.0,957,0.771,-684.7,-0.2467,29.7,0.0036,0.961
s100_m3_combo,B3,q,0.7,ALL,aligned,2472,2132,340,2472,0.844,-1114.9,-0.2078,31.2,2132,0.847,-949.6,-0.2073,31.3,340,0.823,-165.4,-0.211,30.9,0.0037,0.966
s100_m3_combo,B3,q,0.7,ALL,against,2091,1781,310,2091,0.788,-1355.2,-0.2447,29.8,1781,0.776,-1222.1,-0.2568,29.5,310,0.858,-133.1,-0.1755,31.6,-0.0813,0.25
s100_m3_combo,B4,q,0.7,ALL,aligned,2472,1713,569,2472,0.844,-1114.9,-0.2078,31.2,1713,0.833,-823.8,-0.2008,31.7,569,0.778,-378.4,-0.2772,28.6,0.0764,0.221
s100_m3_combo,B4,q,0.7,ALL,against,2091,570,1390,2091,0.788,-1355.2,-0.2447,29.8,570,0.727,-474.7,-0.2994,27.7,1390,0.813,-807.4,-0.2352,30.3,-0.0642,0.355
s100_m3_combo,B5,q,0.7,ALL,aligned,2472,1993,479,2472,0.844,-1114.9,-0.2078,31.2,1993,0.825,-988.8,-0.228,30.7,479,0.916,-126.1,-0.1237,33.4,-0.1043,0.089
s100_m3_combo,B5,q,0.7,ALL,against,2091,320,1771,2091,0.788,-1355.2,-0.2447,29.8,320,0.74,-270.9,-0.2185,30.3,1771,0.797,-1084.3,-0.2495,29.8,0.0309,0.649
s100_m3_combo,B6,q,0.7,ALL,aligned,2472,1262,998,2472,0.844,-1114.9,-0.2078,31.2,1262,0.86,-536.5,-0.1793,31.9,998,0.83,-467.3,-0.2174,31.2,0.0381,0.542
s100_m3_combo,B6,q,0.7,ALL,against,2091,505,1413,2091,0.788,-1355.2,-0.2447,29.8,505,0.681,-493.9,-0.3156,27.9,1413,0.809,-807.3,-0.2107,30.8,-0.1049,0.155
s100_m3_combo,B1,q,0.7,TRAIN,aligned,1148,669,351,1148,0.692,-834.4,-0.3139,29.5,669,0.715,-448.9,-0.292,29.7,351,0.705,-246.4,-0.2965,31.1,0.0045,0.954
s100_m3_combo,B1,q,0.7,TRAIN,against,983,320,561,983,0.697,-732.8,-0.2763,30.3,320,0.767,-190.0,-0.1893,32.2,561,0.686,-420.0,-0.2955,30.1,0.1062,0.275
s100_m3_combo,B2,q,0.7,TRAIN,aligned,1148,167,981,1148,0.692,-834.4,-0.3139,29.5,167,0.72,-112.4,-0.2125,32.9,981,0.687,-722.0,-0.3312,29.0,0.1186,0.201
s100_m3_combo,B2,q,0.7,TRAIN,against,983,508,475,983,0.697,-732.8,-0.2763,30.3,508,0.721,-330.8,-0.2629,31.1,475,0.675,-402.0,-0.2906,29.5,0.0277,0.777
s100_m3_combo,B3,q,0.7,TRAIN,aligned,1148,985,163,1148,0.692,-834.4,-0.3139,29.5,985,0.702,-686.6,-0.306,29.7,163,0.635,-147.8,-0.3616,28.2,0.0555,0.549
s100_m3_combo,B3,q,0.7,TRAIN,against,983,835,148,983,0.697,-732.8,-0.2763,30.3,835,0.67,-687.9,-0.3027,29.6,148,0.866,-45.0,-0.1273,34.5,-0.1755,0.082
s100_m3_combo,B4,q,0.7,TRAIN,aligned,1148,827,248,1148,0.692,-834.4,-0.3139,29.5,827,0.751,-476.3,-0.2533,31.4,248,0.546,-285.7,-0.4818,24.2,0.2285,0.008
s100_m3_combo,B4,q,0.7,TRAIN,against,983,242,679,983,0.697,-732.8,-0.2763,30.3,242,0.712,-157.5,-0.2738,30.2,679,0.716,-486.8,-0.2679,30.6,-0.0059,0.96
s100_m3_combo,B5,q,0.7,TRAIN,aligned,1148,911,237,1148,0.692,-834.4,-0.3139,29.5,911,0.69,-660.5,-0.3156,29.5,237,0.699,-173.9,-0.3075,29.5,-0.0081,0.943
s100_m3_combo,B5,q,0.7,TRAIN,against,983,140,843,983,0.697,-732.8,-0.2763,30.3,140,0.717,-85.4,-0.2889,30.7,843,0.695,-647.4,-0.2742,30.2,-0.0147,0.876
s100_m3_combo,B6,q,0.7,TRAIN,aligned,1148,565,475,1148,0.692,-834.4,-0.3139,29.5,565,0.729,-354.2,-0.2718,30.3,475,0.702,-339.0,-0.3035,30.5,0.0317,0.737
s100_m3_combo,B6,q,0.7,TRAIN,against,983,260,639,983,0.697,-732.8,-0.2763,30.3,260,0.692,-211.1,-0.2768,29.6,639,0.715,-432.3,-0.2638,31.0,-0.013,0.873
s100_m3_combo,B1,q,0.7,TEST,aligned,1324,814,387,1324,0.937,-280.6,-0.1158,32.7,814,0.946,-154.4,-0.0978,33.2,387,0.856,-175.3,-0.1895,30.5,0.0917,0.303
s100_m3_combo,B1,q,0.7,TEST,against,1108,301,703,1108,0.843,-622.4,-0.2167,29.4,301,0.683,-328.3,-0.3264,26.9,703,0.876,-309.1,-0.1541,30.9,-0.1723,0.108
s100_m3_combo,B2,q,0.7,TEST,aligned,1324,209,1115,1324,0.937,-280.6,-0.1158,32.7,209,0.804,-123.8,-0.2764,28.2,1115,0.959,-156.8,-0.0857,33.5,-0.1907,0.028
s100_m3_combo,B2,q,0.7,TEST,against,1108,626,482,1108,0.843,-622.4,-0.2167,29.4,626,0.847,-339.6,-0.227,29.1,482,0.838,-282.7,-0.2034,29.9,-0.0235,0.819
s100_m3_combo,B3,q,0.7,TEST,aligned,1324,1147,177,1324,0.937,-280.6,-0.1158,32.7,1147,0.933,-263.0,-0.1225,32.6,177,0.967,-17.6,-0.0723,33.3,-0.0503,0.56
s100_m3_combo,B3,q,0.7,TEST,against,1108,946,162,1108,0.843,-622.4,-0.2167,29.4,946,0.842,-534.2,-0.2162,29.5,162,0.853,-88.2,-0.2195,29.0,0.0033,0.973
s100_m3_combo,B4,q,0.7,TEST,aligned,1324,886,321,1324,0.937,-280.6,-0.1158,32.7,886,0.885,-347.5,-0.1518,31.9,321,0.913,-92.8,-0.1192,32.1,-0.0326,0.687
s100_m3_combo,B4,q,0.7,TEST,against,1108,328,711,1108,0.843,-622.4,-0.2167,29.4,328,0.734,-317.3,-0.3182,25.9,711,0.877,-320.6,-0.2039,30.0,-0.1143,0.274
s100_m3_combo,B5,q,0.7,TEST,aligned,1324,1082,242,1324,0.937,-280.6,-0.1158,32.7,1082,0.907,-328.3,-0.1543,31.7,242,1.052,47.7,0.0562,37.2,-0.2105,0.013
s100_m3_combo,B5,q,0.7,TEST,against,1108,180,928,1108,0.843,-622.4,-0.2167,29.4,180,0.75,-185.5,-0.1638,30.0,928,0.865,-436.9,-0.227,29.3,0.0632,0.542
s100_m3_combo,B6,q,0.7,TEST,aligned,1324,697,523,1324,0.937,-280.6,-0.1158,32.7,697,0.927,-182.4,-0.1043,33.1,523,0.92,-128.3,-0.1392,31.7,0.0349,0.684
s100_m3_combo,B6,q,0.7,TEST,against,1108,245,774,1108,0.843,-622.4,-0.2167,29.4,245,0.672,-282.8,-0.3568,26.1,774,0.862,-375.0,-0.1669,30.6,-0.1899,0.076
s12_m90_fade_bias,B1,mid,1.0,ALL,aligned,2100,1226,660,2100,0.624,-1195.3,-0.2477,36.8,1226,0.657,-647.8,-0.2235,37.6,660,0.56,-425.4,-0.3048,36.2,0.0814,0.153
s12_m90_fade_bias,B1,mid,1.0,ALL,against,1966,567,1197,1966,0.65,-992.2,-0.258,36.0,567,0.663,-280.4,-0.2453,35.6,1197,0.663,-576.5,-0.2566,36.3,0.0112,0.845
s12_m90_fade_bias,B2,mid,1.0,ALL,aligned,2100,397,1703,2100,0.624,-1195.3,-0.2477,36.8,397,0.864,-63.0,-0.0876,41.6,1703,0.584,-1132.2,-0.285,35.7,0.1974,0.0
s12_m90_fade_bias,B2,mid,1.0,ALL,against,1966,1135,831,1966,0.65,-992.2,-0.258,36.0,1135,0.654,-548.8,-0.261,36.7,831,0.645,-443.3,-0.2539,35.1,-0.007,0.902
s12_m90_fade_bias,B3,mid,1.0,ALL,aligned,2100,1601,499,2100,0.624,-1195.3,-0.2477,36.8,1601,0.595,-1033.1,-0.2633,35.7,499,0.743,-162.2,-0.1973,40.5,-0.066,0.231
s12_m90_fade_bias,B3,mid,1.0,ALL,against,1966,1399,567,1966,0.65,-992.2,-0.258,36.0,1399,0.537,-978.6,-0.3285,33.5,567,0.981,-13.6,-0.0841,42.3,-0.2443,0.0
s12_m90_fade_bias,B4,mid,1.0,ALL,aligned,2100,1434,522,2100,0.624,-1195.3,-0.2477,36.8,1434,0.572,-965.9,-0.2736,36.0,522,0.7,-223.4,-0.2317,39.1,-0.0419,0.467
s12_m90_fade_bias,B4,mid,1.0,ALL,against,1966,476,1342,1966,0.65,-992.2,-0.258,36.0,476,0.63,-232.7,-0.2701,36.8,1342,0.663,-681.3,-0.2527,36.3,-0.0174,0.77
s12_m90_fade_bias,B5,mid,1.0,ALL,aligned,2100,1735,365,2100,0.624,-1195.3,-0.2477,36.8,1735,0.619,-1001.9,-0.2458,36.3,365,0.651,-193.4,-0.2564,39.2,0.0106,0.844
s12_m90_fade_bias,B5,mid,1.0,ALL,against,1966,337,1629,1966,0.65,-992.2,-0.258,36.0,337,0.767,-99.5,-0.2141,39.5,1629,0.629,-892.7,-0.2671,35.3,0.053,0.341
s12_m90_fade_bias,B6,mid,1.0,ALL,aligned,2100,940,997,2100,0.624,-1195.3,-0.2477,36.8,940,0.661,-515.6,-0.2239,36.6,997,0.609,-545.3,-0.2628,38.0,0.0389,0.471
s12_m90_fade_bias,B6,mid,1.0,ALL,against,1966,376,1455,1966,0.65,-992.2,-0.258,36.0,376,0.541,-266.6,-0.3054,32.4,1455,0.703,-600.4,-0.2307,37.2,-0.0747,0.186
s12_m90_fade_bias,B1,mid,1.0,TRAIN,aligned,1002,563,339,1002,0.486,-660.4,-0.3195,32.3,563,0.519,-328.3,-0.2775,32.5,339,0.507,-213.8,-0.3282,35.1,0.0507,0.493
s12_m90_fade_bias,B1,mid,1.0,TRAIN,against,973,300,551,973,0.537,-548.8,-0.2801,32.9,300,0.652,-132.7,-0.2059,36.0,551,0.513,-319.6,-0.2998,32.1,0.0939,0.246
s12_m90_fade_bias,B2,mid,1.0,TRAIN,aligned,1002,189,813,1002,0.486,-660.4,-0.3195,32.3,189,0.767,-48.9,-0.1701,39.2,813,0.431,-611.5,-0.3542,30.8,0.1841,0.015
s12_m90_fade_bias,B2,mid,1.0,TRAIN,against,973,526,447,973,0.537,-548.8,-0.2801,32.9,526,0.576,-245.4,-0.2536,34.6,447,0.499,-303.4,-0.3112,30.9,0.0575,0.435
s12_m90_fade_bias,B3,mid,1.0,TRAIN,aligned,1002,764,238,1002,0.486,-660.4,-0.3195,32.3,764,0.457,-554.5,-0.3325,30.9,238,0.596,-105.9,-0.2776,37.0,-0.0549,0.452
s12_m90_fade_bias,B3,mid,1.0,TRAIN,against,973,712,261,973,0.537,-548.8,-0.2801,32.9,712,0.447,-531.5,-0.349,30.2,261,0.923,-17.3,-0.092,40.2,-0.2569,0.0
s12_m90_fade_bias,B4,mid,1.0,TRAIN,aligned,1002,710,223,1002,0.486,-660.4,-0.3195,32.3,710,0.527,-440.5,-0.3091,33.5,223,0.31,-200.8,-0.4166,30.0,0.1075,0.162
s12_m90_fade_bias,B4,mid,1.0,TRAIN,against,973,243,644,973,0.537,-548.8,-0.2801,32.9,243,0.444,-157.9,-0.332,31.3,644,0.592,-326.1,-0.25,34.5,-0.082,0.297
s12_m90_fade_bias,B5,mid,1.0,TRAIN,aligned,1002,814,188,1002,0.486,-660.4,-0.3195,32.3,814,0.481,-544.7,-0.3122,32.1,188,0.506,-115.7,-0.351,33.5,0.0388,0.596
s12_m90_fade_bias,B5,mid,1.0,TRAIN,against,973,175,798,973,0.537,-548.8,-0.2801,32.9,175,0.469,-98.2,-0.3113,35.4,798,0.549,-450.6,-0.2732,32.3,-0.0381,0.6
s12_m90_fade_bias,B6,mid,1.0,TRAIN,aligned,1002,426,496,1002,0.486,-660.4,-0.3195,32.3,426,0.577,-223.4,-0.2362,32.9,496,0.494,-304.4,-0.3285,34.7,0.0923,0.252
s12_m90_fade_bias,B6,mid,1.0,TRAIN,against,973,223,663,973,0.537,-548.8,-0.2801,32.9,223,0.589,-130.0,-0.2443,33.2,663,0.569,-318.6,-0.2611,33.6,0.0168,0.831
s12_m90_fade_bias,B1,mid,1.0,TEST,aligned,1098,663,321,1098,0.718,-534.9,-0.1821,40.9,663,0.736,-319.5,-0.1776,41.9,321,0.603,-211.6,-0.2802,37.4,0.1026,0.209
s12_m90_fade_bias,B1,mid,1.0,TEST,against,993,267,646,993,0.731,-443.4,-0.2364,39.1,267,0.673,-147.7,-0.2896,35.2,646,0.756,-256.9,-0.2196,39.9,-0.07,0.447
s12_m90_fade_bias,B2,mid,1.0,TEST,aligned,1098,208,890,1098,0.718,-534.9,-0.1821,40.9,208,0.944,-14.1,-0.0126,43.8,890,0.683,-520.8,-0.2217,40.2,0.2092,0.005
s12_m90_fade_bias,B2,mid,1.0,TEST,against,993,609,384,993,0.731,-443.4,-0.2364,39.1,609,0.698,-303.5,-0.2673,38.4,384,0.782,-139.9,-0.1873,40.1,-0.08,0.312
s12_m90_fade_bias,B3,mid,1.0,TEST,aligned,1098,837,261,1098,0.718,-534.9,-0.1821,40.9,837,0.687,-478.6,-0.2002,40.0,261,0.848,-56.3,-0.1241,43.7,-0.076,0.34
s12_m90_fade_bias,B3,mid,1.0,TEST,against,993,687,306,993,0.731,-443.4,-0.2364,39.1,687,0.612,-447.1,-0.3072,36.8,306,1.008,3.8,-0.0774,44.1,-0.2298,0.007
s12_m90_fade_bias,B4,mid,1.0,TEST,aligned,1098,724,299,1098,0.718,-534.9,-0.1821,40.9,724,0.603,-525.4,-0.2388,38.4,299,0.95,-22.6,-0.0938,45.8,-0.145,0.08
s12_m90_fade_bias,B4,mid,1.0,TEST,against,993,233,698,993,0.731,-443.4,-0.2364,39.1,233,0.783,-74.8,-0.2055,42.5,698,0.709,-355.2,-0.2551,38.0,0.0497,0.574
s12_m90_fade_bias,B5,mid,1.0,TEST,aligned,1098,921,177,1098,0.718,-534.9,-0.1821,40.9,921,0.71,-457.1,-0.1871,40.1,177,0.758,-77.7,-0.1559,45.2,-0.0313,0.704
s12_m90_fade_bias,B5,mid,1.0,TEST,against,993,162,831,993,0.731,-443.4,-0.2364,39.1,162,0.995,-1.3,-0.1091,43.8,831,0.686,-442.1,-0.2612,38.1,0.1521,0.073
s12_m90_fade_bias,B6,mid,1.0,TEST,aligned,1098,514,501,1098,0.718,-534.9,-0.1821,40.9,514,0.705,-292.3,-0.2137,39.7,501,0.696,-240.9,-0.1978,41.3,-0.0159,0.847
s12_m90_fade_bias,B6,mid,1.0,TEST,against,993,153,792,993,0.731,-443.4,-0.2364,39.1,153,0.483,-136.6,-0.3944,31.4,792,0.781,-281.8,-0.2053,40.2,-0.1891,0.036
s12_m90_fade_bias,B1,q,0.7,ALL,aligned,2100,1226,660,2100,0.65,-1135.6,-0.2164,42.4,1226,0.65,-687.2,-0.2063,43.4,660,0.654,-323.8,-0.2379,41.4,0.0315,0.571
s12_m90_fade_bias,B1,q,0.7,ALL,against,1966,567,1197,1966,0.656,-1017.1,-0.2415,40.7,567,0.648,-307.2,-0.2357,38.6,1197,0.685,-559.0,-0.2369,41.4,0.0013,0.984
s12_m90_fade_bias,B2,q,0.7,ALL,aligned,2100,397,1703,2100,0.65,-1135.6,-0.2164,42.4,397,0.983,-7.7,-0.0305,49.4,1703,0.595,-1127.8,-0.2598,40.8,0.2293,0.0
s12_m90_fade_bias,B2,q,0.7,ALL,against,1966,1135,831,1966,0.656,-1017.1,-0.2415,40.7,1135,0.722,-436.4,-0.2309,42.0,831,0.581,-580.7,-0.2559,38.9,0.025,0.642
s12_m90_fade_bias,B3,q,0.7,ALL,aligned,2100,1601,499,2100,0.65,-1135.6,-0.2164,42.4,1601,0.618,-991.8,-0.2299,41.0,499,0.777,-143.8,-0.1731,46.7,-0.0568,0.321
s12_m90_fade_bias,B3,q,0.7,ALL,against,1966,1399,567,1966,0.656,-1017.1,-0.2415,40.7,1399,0.53,-1044.5,-0.3139,38.2,567,1.038,27.4,-0.0628,46.9,-0.2511,0.0
s12_m90_fade_bias,B4,q,0.7,ALL,aligned,2100,1434,522,2100,0.65,-1135.6,-0.2164,42.4,1434,0.596,-921.8,-0.2385,41.9,522,0.708,-229.4,-0.2218,43.1,-0.0167,0.766
s12_m90_fade_bias,B4,q,0.7,ALL,against,1966,476,1342,1966,0.656,-1017.1,-0.2415,40.7,476,0.648,-221.0,-0.2681,40.8,1342,0.664,-716.9,-0.2285,41.1,-0.0396,0.462
s12_m90_fade_bias,B5,q,0.7,ALL,aligned,2100,1735,365,2100,0.65,-1135.6,-0.2164,42.4,1735,0.658,-912.3,-0.2129,42.2,365,0.611,-223.3,-0.233,43.0,0.0201,0.724
s12_m90_fade_bias,B5,q,0.7,ALL,against,1966,337,1629,1966,0.656,-1017.1,-0.2415,40.7,337,0.769,-105.7,-0.203,43.6,1629,0.635,-911.4,-0.2494,40.1,0.0464,0.397
s12_m90_fade_bias,B6,q,0.7,ALL,aligned,2100,940,997,2100,0.65,-1135.6,-0.2164,42.4,940,0.654,-544.7,-0.2033,42.8,997,0.676,-446.8,-0.2151,43.0,0.0117,0.828
s12_m90_fade_bias,B6,q,0.7,ALL,against,1966,376,1455,1966,0.656,-1017.1,-0.2415,40.7,376,0.542,-269.7,-0.2756,37.2,1455,0.715,-606.4,-0.2179,41.9,-0.0577,0.256
s12_m90_fade_bias,B1,q,0.7,TRAIN,aligned,1002,563,339,1002,0.535,-594.5,-0.2866,39.6,563,0.548,-315.3,-0.2604,41.0,339,0.595,-167.8,-0.2677,40.1,0.0073,0.92
s12_m90_fade_bias,B1,q,0.7,TRAIN,against,973,300,551,973,0.548,-562.6,-0.2693,39.2,300,0.632,-149.1,-0.176,40.7,551,0.523,-333.2,-0.3099,37.4,0.134,0.058
s12_m90_fade_bias,B2,q,0.7,TRAIN,aligned,1002,189,813,1002,0.535,-594.5,-0.2866,39.6,189,0.734,-59.2,-0.1822,46.6,813,0.492,-535.3,-0.3109,38.0,0.1287,0.071
s12_m90_fade_bias,B2,q,0.7,TRAIN,against,973,526,447,973,0.548,-562.6,-0.2693,39.2,526,0.591,-249.6,-0.2551,41.3,447,0.507,-313.1,-0.2861,36.7,0.031,0.7
s12_m90_fade_bias,B3,q,0.7,TRAIN,aligned,1002,764,238,1002,0.535,-594.5,-0.2866,39.6,764,0.514,-485.1,-0.2918,38.2,238,0.609,-109.4,-0.27,44.1,-0.0218,0.756
s12_m90_fade_bias,B3,q,0.7,TRAIN,against,973,712,261,973,0.548,-562.6,-0.2693,39.2,712,0.44,-570.3,-0.3508,35.8,261,1.034,7.7,-0.0469,48.3,-0.3039,0.0
s12_m90_fade_bias,B4,q,0.7,TRAIN,aligned,1002,710,223,1002,0.535,-594.5,-0.2866,39.6,710,0.583,-381.0,-0.2698,41.0,223,0.337,-201.7,-0.4092,35.4,0.1393,0.056
s12_m90_fade_bias,B4,q,0.7,TRAIN,against,973,243,644,973,0.548,-562.6,-0.2693,39.2,243,0.546,-121.2,-0.2612,39.1,644,0.566,-376.8,-0.2597,39.4,-0.0015,0.984
s12_m90_fade_bias,B5,q,0.7,TRAIN,aligned,1002,814,188,1002,0.535,-594.5,-0.2866,39.6,814,0.546,-470.5,-0.2659,39.9,188,0.486,-124.0,-0.3764,38.3,0.1105,0.132
s12_m90_fade_bias,B5,q,0.7,TRAIN,against,973,175,798,973,0.548,-562.6,-0.2693,39.2,175,0.514,-96.4,-0.2935,42.3,798,0.554,-466.3,-0.264,38.5,-0.0294,0.675
s12_m90_fade_bias,B6,q,0.7,TRAIN,aligned,1002,426,496,1002,0.535,-594.5,-0.2866,39.6,426,0.621,-199.5,-0.2113,42.3,496,0.551,-268.4,-0.2896,40.1,0.0783,0.296
s12_m90_fade_bias,B6,q,0.7,TRAIN,against,973,223,663,973,0.548,-562.6,-0.2693,39.2,223,0.563,-145.1,-0.2091,39.5,663,0.58,-331.5,-0.2668,39.4,0.0577,0.477
s12_m90_fade_bias,B1,q,0.7,TEST,aligned,1098,663,321,1098,0.725,-541.1,-0.1523,44.9,663,0.707,-371.9,-0.1604,45.4,321,0.7,-156.0,-0.2064,42.7,0.0459,0.601
s12_m90_fade_bias,B1,q,0.7,TEST,against,993,267,646,993,0.734,-454.4,-0.2141,42.2,267,0.661,-158.1,-0.3028,36.3,646,0.791,-225.8,-0.1747,44.9,-0.1281,0.145
s12_m90_fade_bias,B2,q,0.7,TEST,aligned,1098,208,890,1098,0.725,-541.1,-0.1523,44.9,208,1.218,51.4,0.1074,51.9,890,0.657,-592.5,-0.2131,43.3,0.3205,0.0
s12_m90_fade_bias,B2,q,0.7,TEST,against,993,609,384,993,0.734,-454.4,-0.2141,42.2,609,0.805,-186.8,-0.21,42.7,384,0.644,-267.6,-0.2208,41.4,0.0108,0.896
s12_m90_fade_bias,B3,q,0.7,TEST,aligned,1098,837,261,1098,0.725,-541.1,-0.1523,44.9,837,0.683,-506.7,-0.1734,43.6,261,0.906,-34.3,-0.0847,49.0,-0.0888,0.307
s12_m90_fade_bias,B3,q,0.7,TEST,against,993,687,306,993,0.734,-454.4,-0.2141,42.2,687,0.607,-474.2,-0.2756,40.6,306,1.039,19.7,-0.0763,45.8,-0.1993,0.014
s12_m90_fade_bias,B4,q,0.7,TEST,aligned,1098,724,299,1098,0.725,-541.1,-0.1523,44.9,724,0.604,-540.8,-0.2078,42.8,299,0.943,-27.6,-0.0822,48.8,-0.1257,0.142
s12_m90_fade_bias,B4,q,0.7,TEST,against,993,233,698,993,0.734,-454.4,-0.2141,42.2,233,0.724,-99.8,-0.2752,42.5,698,0.731,-340.1,-0.1997,42.6,-0.0755,0.395
s12_m90_fade_bias,B5,q,0.7,TEST,aligned,1098,921,177,1098,0.725,-541.1,-0.1523,44.9,921,0.729,-441.8,-0.1661,44.3,177,0.702,-99.3,-0.0808,48.0,-0.0854,0.337
s12_m90_fade_bias,B5,q,0.7,TEST,against,993,162,831,993,0.734,-454.4,-0.2141,42.2,162,0.964,-9.3,-0.1053,45.1,831,0.693,-445.1,-0.2354,41.6,0.13,0.12
s12_m90_fade_bias,B6,q,0.7,TEST,aligned,1098,514,501,1098,0.725,-541.1,-0.1523,44.9,514,0.67,-345.1,-0.1967,43.2,501,0.772,-178.5,-0.1413,45.9,-0.0555,0.534
s12_m90_fade_bias,B6,q,0.7,TEST,against,993,153,792,993,0.734,-454.4,-0.2141,42.2,153,0.515,-124.6,-0.3725,34.0,792,0.794,-274.9,-0.177,43.9,-0.1955,0.022
s03_ob_mitigation,B1,mid,1.0,ALL,aligned,3213,1844,1046,3213,0.736,-1777.0,-0.2525,39.9,1844,0.758,-933.1,-0.2387,40.2,1046,0.693,-676.8,-0.2739,39.3,0.0351,0.49
s03_ob_mitigation,B1,mid,1.0,ALL,against,3442,1029,2037,3442,0.742,-1855.0,-0.2424,40.2,1029,0.708,-633.8,-0.2969,38.6,2037,0.754,-1045.1,-0.2229,40.7,-0.0741,0.166
s03_ob_mitigation,B2,mid,1.0,ALL,aligned,3213,1000,2213,3213,0.736,-1777.0,-0.2525,39.9,1000,0.674,-700.6,-0.3024,38.3,2213,0.765,-1076.5,-0.2299,40.6,-0.0725,0.139
s03_ob_mitigation,B2,mid,1.0,ALL,against,3442,2443,999,3442,0.742,-1855.0,-0.2424,40.2,2443,0.759,-1211.5,-0.2274,40.8,999,0.703,-643.6,-0.2792,38.7,0.0518,0.296
s03_ob_mitigation,B3,mid,1.0,ALL,aligned,3213,1617,1595,3213,0.736,-1777.0,-0.2525,39.9,1617,0.786,-711.1,-0.2082,41.2,1595,0.686,-1071.0,-0.2985,38.4,0.0903,0.072
s03_ob_mitigation,B3,mid,1.0,ALL,against,3442,1686,1756,3442,0.742,-1855.0,-0.2424,40.2,1686,0.755,-858.3,-0.2372,40.4,1756,0.729,-996.8,-0.2474,40.0,0.0101,0.814
s03_ob_mitigation,B4,mid,1.0,ALL,aligned,3213,2086,851,3213,0.736,-1777.0,-0.2525,39.9,2086,0.784,-913.5,-0.2112,41.3,851,0.691,-568.1,-0.2915,38.4,0.0803,0.137
s03_ob_mitigation,B4,mid,1.0,ALL,against,3442,789,2390,3442,0.742,-1855.0,-0.2424,40.2,789,0.805,-305.8,-0.1933,42.1,2390,0.725,-1384.2,-0.2601,39.6,0.0669,0.2
s03_ob_mitigation,B5,mid,1.0,ALL,aligned,3213,2695,518,3213,0.736,-1777.0,-0.2525,39.9,2695,0.733,-1515.4,-0.2541,39.7,518,0.749,-261.7,-0.2439,40.7,-0.0102,0.839
s03_ob_mitigation,B5,mid,1.0,ALL,against,3442,586,2856,3442,0.742,-1855.0,-0.2424,40.2,586,0.792,-242.5,-0.2141,41.5,2856,0.732,-1612.5,-0.2482,40.0,0.0341,0.482
s03_ob_mitigation,B6,mid,1.0,ALL,aligned,3213,923,2132,3213,0.736,-1777.0,-0.2525,39.9,923,0.804,-370.9,-0.1886,41.8,2132,0.708,-1316.7,-0.2787,39.1,0.0901,0.087
s03_ob_mitigation,B6,mid,1.0,ALL,against,3442,498,2801,3442,0.742,-1855.0,-0.2424,40.2,498,0.807,-191.9,-0.2102,41.6,2801,0.741,-1520.5,-0.2407,40.2,0.0305,0.513
s03_ob_mitigation,B1,mid,1.0,TRAIN,aligned,1960,1106,657,1960,0.742,-1009.2,-0.2628,40.2,1106,0.802,-427.7,-0.232,41.1,657,0.676,-438.0,-0.285,39.4,0.0531,0.492
s03_ob_mitigation,B1,mid,1.0,TRAIN,against,2075,620,1212,2075,0.729,-1123.0,-0.2505,40.6,620,0.663,-430.7,-0.3426,37.7,1212,0.768,-550.9,-0.204,42.1,-0.1385,0.049
s03_ob_mitigation,B2,mid,1.0,TRAIN,aligned,1960,611,1349,1960,0.742,-1009.2,-0.2628,40.2,611,0.632,-469.6,-0.3327,38.0,1349,0.796,-539.6,-0.2312,41.1,-0.1015,0.101
