created_at,modified_at,position_id,side,price,condition,order_type,status,reason,quantity,broker_order_id
2026-09-18 09:28:08.776316+00:00,2026-09-18 09:28:08.776333+00:00,add054e0-2b6f-4936-b526-a83a5151ad86,BUY,4387.06,ENTRY,MARKET,EXECUTED,OB_BIAS_BUY,0.1,119214965
2026-09-18 09:33:48.393810+00:00,2026-09-18 09:33:48.393827+00:00,add054e0-2b6f-4936-b526-a83a5151ad86,SELL,4386.04,STOPLOSS,MARKET,EXECUTED,STOPLOSS,0.1,
