M,n,train_n,train_pf_070,train_pts,days,no_range,no_trigger,both_same_bar,beyond_target,gap_through,no_bars,bad_window
1.0,523,318,0.695,-391.5,528,0,3,0,2,0,0,0
2.0,524,319,0.874,-177.6,528,0,3,0,1,0,0,0
